String,Type,label,aug
"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair",Social Proof,1,0
Purchased 8 times in the last few days.,Social Proof,1,0
There are lease to own conditions.,Not Dark Pattern,0,1
Share on social media.,Not Dark Pattern,0,1
Mannequins are made by dressmakers.,Not Dark Pattern,0,1
ONLY 12.5M LEFT IN STOCK!,Scarcity,1,0
"By signing up via text, you agree to receive recurring automated promotional and personalized marketing text messages from SPANX®. Msg & data rates apply. View Terms of Use & Privacy Policy.",Not Dark Pattern,0,0
 Outdoor Recreation ,Not Dark Pattern,0,0
Limited stock available,Scarcity,1,0
Make sure you have everything else you need.,Misdirection,1,1
I don't like deals.,Misdirection,1,1
 Crystal Beads ,Not Dark Pattern,0,0
TSX Remotes,Not Dark Pattern,0,0
American Diamond Earrings,Not Dark Pattern,0,0
Women's Apparel.,Not Dark Pattern,0,1
"Right now, 30 Visitor.",Social Proof,1,1
"No thanks, I despise coupons!",Misdirection,1,0
Gear Up,Not Dark Pattern,0,0
We uses cookies (and similar techniques) to provide you with better products and services. Your permission will be confirmed if you continue using this website.Read more,Not Dark Pattern,0,0
"Once you fill out the form, you will receive an email with instructions for how to ship the item to our warehouse.",Not Dark Pattern,0,1
Crystal Shivlingas ,Not Dark Pattern,0,0
"No thanks, I'd like 0% off",Misdirection,1,0
There are sunglasses and eyewear.,Not Dark Pattern,0,1
(Only 1 left!),Scarcity,1,0
 Mixed Wine Cases ,Not Dark Pattern,0,0
There are all home accessories.,Not Dark Pattern,0,1
CHF,Not Dark Pattern,0,0
I don't mind missing out.,Misdirection,1,1
 All Birthday Gifts ,Not Dark Pattern,0,0
Only 33 left,Scarcity,1,0
"NO THANKS, I DON’T WANT 15% OFF",Misdirection,1,0
The beads are kahnite.,Not Dark Pattern,0,1
"No Thanks, I Don't Want a Discount",Misdirection,1,0
 World of Sweats ,Not Dark Pattern,0,0
Sparkling Elegance,Not Dark Pattern,0,0
Facebook icon,Not Dark Pattern,0,0
 Alchemy Books ,Not Dark Pattern,0,0
 Gut Health ,Not Dark Pattern,0,0
Only 2 left in stock,Scarcity,1,0
You might also like,Not Dark Pattern,0,0
Stay on Next.co.uk,Not Dark Pattern,0,0
 Bob Ross Oil Brushes ,Not Dark Pattern,0,0
There are items for sale.,Not Dark Pattern,0,1
Returns an Item,Not Dark Pattern,0,0
HURRY UP > 09H 42M 39S,Urgency,1,0
Crossman Air Pistols,Not Dark Pattern,0,0
Parad Combo Deals ,Not Dark Pattern,0,0
Ask a Question,Not Dark Pattern,0,0
Special sale ends in,Urgency,1,0
2 customers bought it.,Social Proof,1,1
20%OFF VALENTINE's DAY FAVOURITES * Only available for a limited time.,Urgency,1,1
Limited time offer,Urgency,1,0
Don't miss out on this item! There is only 1 left in stock.,Scarcity,1,0
Thank you for posting a question!,Not Dark Pattern,0,0
#6 Bestseller in Rugs This item was viewed 92 times in the last day.,Social Proof,1,0
Tactical Rifles,Not Dark Pattern,0,0
Spin to unlock your mystery offer,Misdirection,1,0
Better results can be achieved with add for better results.,Misdirection,1,1
18 In Stock,Scarcity,1,0
"Now 30% off - hurry, limited time offer!",Urgency,1,0
Bath Decor,Not Dark Pattern,0,0
There is a 10% discount in 29:43.,Urgency,1,1
Perhaps you could...,Not Dark Pattern,0,0
The flash sale is almost over!,Urgency,1,1
Bought by 39 people in last few hours! HOT SELLER!,Social Proof,1,0
SAVE 10% On All Orders. No Voucher Code Needed Expires in 18:07:59.,Urgency,1,0
"No thanks, I want to pay full price",Misdirection,1,0
407 customers have viewed this item recently,Social Proof,1,0
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,1,0
Great for shine,Not Dark Pattern,0,0
You can support all artists create.,Not Dark Pattern,0,1
 Send Us Your Jersey ,Not Dark Pattern,0,0
Free Embroidery Patterns,Not Dark Pattern,0,0
09H 42M 39S is a storm.,Urgency,1,1
Email Address*,Not Dark Pattern,0,0
1 Left,Scarcity,1,0
Fun Treat Tossing,Not Dark Pattern,0,0
You can save 15% with subscribe and save.,Misdirection,1,1
and future features included!,Not Dark Pattern,0,0
 Write a reviewAsk a question,Not Dark Pattern,0,0
* Limited Time Offer *\nFREE\nTLPWR1 Test Leads!,Urgency,1,0
Continue with other websites,Not Dark Pattern,0,1
Receive the latest offers and inspiration.,Not Dark Pattern,0,1
Sunwayfoto,Not Dark Pattern,0,0
"Sorry, this is out of stock. You just missed it.",Scarcity,1,0
 Women's Sandals ,Not Dark Pattern,0,0
Someone in United States just purchased a,Social Proof,1,0
 Sunflower ,Not Dark Pattern,0,0
 Air Purifying Plants ,Not Dark Pattern,0,0
Summary,Not Dark Pattern,0,0
Child Safety,Not Dark Pattern,0,0
Orthopedic,Not Dark Pattern,0,0
 Travel Accessories ,Not Dark Pattern,0,0
 Comfy and looks great ,Not Dark Pattern,0,0
Low in stock,Scarcity,1,0
Panther Anole,Not Dark Pattern,0,0
 SAF Warriors ,Not Dark Pattern,0,0
It was added to the basket 38 times today.,Social Proof,1,1
 Tweet Share Pin It Add Email ,Not Dark Pattern,0,0
"No, I Don't Like Discounts",Misdirection,1,0
Awntech New Yorker Window/ Entry Slope.,Not Dark Pattern,0,1
 Jersey GBP,Not Dark Pattern,0,0
Active filters in English.,Not Dark Pattern,0,1
"No Thanks, I Prefer Paying Full Price.",Misdirection,1,0
Fewer than 5 left!,Scarcity,1,0
Only 4 items left in stock.,Scarcity,1,0
BROKEN REMOTE? FIX IT YOURSELF AND SAVE HUGE,Not Dark Pattern,0,0
"No thanks, I dont want a discount",Misdirection,1,0
Toddler Girl Jumpsuits and Rompers,Not Dark Pattern,0,0
SAA Standard Membership - Credit/Debit Card - Automatic Annual Fee,Not Dark Pattern,0,0
ONLY 1 ITEM LEFT!,Scarcity,1,0
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING ON ALL ORDERS OVER $80 ,Urgency,1,0
There is a limited time sale up to 70% off.,Urgency,1,1
 A-Z Luxury Brands ,Not Dark Pattern,0,0
Selling fast! Add to bag 7 times in the last 48 hours.,Social Proof,1,0
 EU Delivery & Returns ,Not Dark Pattern,0,0
"When you place healing crystals in a symmetrical fashion and activate it with a crystal wand, the pattern is charged to send messages to the universe. A healing crystal grid uses sophisticated symmetry for manifestation.",Not Dark Pattern,0,0
"Carol in St. Louis, Missouri bought Original USB Charging Anti-Theft Backpack",Social Proof,1,0
Checkout is safe and secure.,Not Dark Pattern,0,1
"Due To HIGH Demand, Cart Expires In: 08:41",Urgency,1,0
A very fun outfit for a less formal event like a sangeet! Husband said the bell bottom type pants were fun to dance in :),Not Dark Pattern,0,0
gifts for wife,Not Dark Pattern,0,0
Only 7 left!,Scarcity,1,0
To resolve the issue.,Not Dark Pattern,0,1
Beach Towels & Mats,Not Dark Pattern,0,0
90% offers claimed. Hurry up!,Scarcity,1,0
Hair treatments,Not Dark Pattern,0,0
$132.90,Misdirection,1,1
Was this product description useful?YesNo,Not Dark Pattern,0,0
(ONLY 1 LEFT IN THIS SIZE!),Scarcity,1,0
 Gameday Collection ,Not Dark Pattern,0,0
 OH SHIP! Looks like that page wasn't found ,Not Dark Pattern,0,0
Shop now. Pay later. Always interest-free,Not Dark Pattern,0,0
 Shop All Lehenga Choli ,Not Dark Pattern,0,0
Transmission and Driveline,Not Dark Pattern,0,0
Hair type: Curly,Not Dark Pattern,0,0
I don't like free stuff.,Misdirection,1,1
Hurry! Sale ends at 02:59:50,Urgency,1,1
"894 Claimed! Hurry, only a few left!",Scarcity,1,0
Better results can be achieved by adding an add for better results.,Misdirection,1,1
"No thanks, I don't want to save up to 75%",Misdirection,1,0
Only 7 left in stock!,Scarcity,1,0
LIMITED TIME ONLY 10 OFF 50 SPEND NEW CUSTOMERS ONLY - TERMS & CONDITIONS APPLY,Urgency,1,0
Thanks!,Not Dark Pattern,0,1
Fashion Forms,Not Dark Pattern,0,0
$132.90 $99.00,Misdirection,1,0
6 others have already bought this deal today!,Social Proof,1,0
Free People,Not Dark Pattern,0,0
Low Stock – Selling Fast,Scarcity,1,0
You can add your favorites to the cart.,Not Dark Pattern,0,1
 Gift Card FAQs ,Not Dark Pattern,0,0
"If you would like to receive promotional offers from third parties, please tick here if you don't want to receive promotional offers by post.",Misdirection,1,1
Pillowcases & Shams,Not Dark Pattern,0,0
"About 45 minutes ago, Synne Kristine in Halden bought a Classic Bokksu Subscription.",Social Proof,1,1
Cart will expire in 04:53 minutes!,Urgency,1,0
80% offers claimed. Hurry up!,Scarcity,1,0
" This product can expose you to chemicals including Hexavalent which is known to the State of California to cause cancer on birth defects or other reproductive harm. For more information, visit ",Not Dark Pattern,0,0
Mom and baby.,Not Dark Pattern,0,1
There are printed long sleeves for women.,Not Dark Pattern,0,1
There is a limited time offer.,Urgency,1,1
The product you requested is not available in the selected country,Not Dark Pattern,0,0
✕,Not Dark Pattern,0,0
"Joe M from , Bought a Cartoon Caterpillar Rigged 3D Model Recently",Social Proof,1,0
"There are paper, pads and blocks in this category.",Not Dark Pattern,0,1
Sunglasses and Eyewear,Not Dark Pattern,0,0
Use code SPRING25 to save 25% on your entire order.,Urgency,1,1
Card Storage,Not Dark Pattern,0,0
Thin and tough - protects from minor scratches,Not Dark Pattern,0,0
Mom & Baby,Not Dark Pattern,0,0
Limited Time Offer,Urgency,1,0
 Shop Optics > ,Not Dark Pattern,0,0
Down Jackets,Not Dark Pattern,0,0
"Someone from Cape Town, Western Cape, South Africa just started buying Packable Travel Duffel Bag! 5 minutes ago",Social Proof,1,0
Limited Time Only! 20% Off,Urgency,1,0
" This site uses cookies to provide and improve your shopping experience. If you want to benefit from this improved service, please opt-in. ",Not Dark Pattern,0,0
Father's Day Gifts,Not Dark Pattern,0,0
I am very pleased with the service I received.,Not Dark Pattern,0,0
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,Social Proof,1,0
"Someone in Sasebo, Japan just bought",Social Proof,1,0
Warning: Last items in stock!,Scarcity,1,0
Stock Low : 6 items left.,Scarcity,1,0
About Ruth Hogan,Not Dark Pattern,0,0
Don’t worry. We’ve got your back.,Not Dark Pattern,0,0
"The Dry Direct Ultimate is the best product we have found so far. Customer service is very efficient, and deliveries have always been on time.",Not Dark Pattern,0,1
Only 1 Item Left!,Scarcity,1,0
"No thanks, I don't want to build one.. I'd rather kick rocks!",Misdirection,1,0
I chose what I wanted and it came a week later.,Not Dark Pattern,0,1
 Mobile Terms of Use ,Not Dark Pattern,0,0
There is a blue berry.,Not Dark Pattern,0,1
161 people have viewed this item,Social Proof,1,0
SRX Remotes,Not Dark Pattern,0,0
I don't like exclusive offers.,Misdirection,1,1
"No thanks, I'll just pay full price.",Misdirection,1,0
The special sale is over.,Urgency,1,1
ShopClose menu,Not Dark Pattern,0,0
"After trying several other shades of red, I’ve tried this one and just love it. It is the perfect shade of brown with beautiful red highlights, very rich color, and very beautiful.",Not Dark Pattern,0,0
Take some time to pay.,Not Dark Pattern,0,1
Today's sale ends at 01:00PM.,Urgency,1,1
Low in stock: only 2 left.,Scarcity,1,0
 Chair Accessories ,Not Dark Pattern,0,0
All you have to do is shop.,Not Dark Pattern,0,1
lego harry potter,Not Dark Pattern,0,0
There are remedies for arthritis.,Not Dark Pattern,0,1
There are Clarity Remotes.,Not Dark Pattern,0,1
The requested page could not be found,Not Dark Pattern,0,0
Countdown,Not Dark Pattern,0,0
Book conditions are rare.,Not Dark Pattern,0,1
I'll just walk.,Misdirection,1,1
Shop By Fabric,Not Dark Pattern,0,0
Icon MTB Socks - Black/Green,Not Dark Pattern,0,0
Your order will be held for 08:48 minutes.,Urgency,1,1
You can buy dresses by occasion.,Not Dark Pattern,0,1
Product Tagline,Not Dark Pattern,0,0
There is only a limited time to shop for plants.,Urgency,1,1
There is a brand directory.,Not Dark Pattern,0,1
Loading,Not Dark Pattern,0,0
Sellout risk:,Scarcity,1,0
Check out the item in the cart.,Not Dark Pattern,0,1
Subscribe & Save,Misdirection,1,0
"We combined powerful, yet gentle acne-fighting ingredients with our own unique plant-based complexes to help reduce irritation and redness associated with acne and breakouts. The result? Skin that’s nourished, smooth, and most importantly, clear!",Not Dark Pattern,0,0
Only 2 units left in stock,Scarcity,1,0
Two people are watching something.,Social Proof,1,1
I'D RATHER PAY FULL PRICE,Misdirection,1,0
8 people have this in their bag right now.,Social Proof,1,0
23% left in stock!,Scarcity,1,0
Cellular/Honeycomb Shades,Not Dark Pattern,0,0
Upright Plants,Not Dark Pattern,0,0
Authenticity Guaranteed,Not Dark Pattern,0,0
"Matthew in Charleston, South Carolina just purchased The Puffy Lux Mattress",Social Proof,1,0
Over 200 views in 24 hrs,Social Proof,1,0
LOW STOCK: Only 1 left.,Scarcity,1,0
 Bar Stools,Not Dark Pattern,0,0
It was bought by 39 people in a few hours.,Social Proof,1,1
Only A Few Left,Scarcity,1,0
Click and Collect T&C,Not Dark Pattern,0,0
"Thank you, but I prefer to pay the full price.",Misdirection,1,1
339 users are currently active on our website,Social Proof,1,0
"No, thank you. I prefer to pay the full price",Misdirection,1,0
Limited-time Deal,Scarcity,1,0
You are missing out on these deals with the item in your cart.,Misdirection,1,1
You left two items in your bag.,Urgency,1,1
"No thanks, I'm not interested in saving money.",Misdirection,1,0
ONLY 5 LEFT!,Scarcity,1,0
Only a few left of this product!,Scarcity,1,0
On Sale! Limited Time Offer!,Urgency,1,0
 Unstitched Fabric ,Not Dark Pattern,0,0
 United States ,Not Dark Pattern,0,0
LIMITED OFFER: $125 Off + 2 Free Pillows,Urgency,1,0
Limited Edition Honeycomb Necklace (Bee Inspired) Someone purchased a Limited Edition Honeycomb Necklace (Bee Inspired),Social Proof,1,0
HOT PRODUCT Over 250 people are looking at this item.,Social Proof,1,0
" Mystic Topaz: Rings, Earrings, Necklaces and Bracelets ",Not Dark Pattern,0,0
Order in 14:53 to get 2 pillows for free,Urgency,1,0
Speed Lace Accessory Kit - Orange,Not Dark Pattern,0,0
Someone bought a training kit.,Social Proof,1,1
Switchers,Not Dark Pattern,0,0
Your cart is reserved for 14:57 minutes!,Urgency,1,0
I will save money another day.,Misdirection,1,1
Pin it and add email.,Not Dark Pattern,0,1
Only one item left in stock!,Scarcity,1,0
 WWE New Arrivals ,Not Dark Pattern,0,0
 Teething Remedies ,Not Dark Pattern,0,0
 Light Blue Regular Fit Single Cuff Easy Care Shirt ,Not Dark Pattern,0,0
"Security is our top priority. Our subscription payments are powered by Stripe and ReCharge, processed in a secure PCI-compliant environment to the highest industry standards. Ketolent staff never know your credit card number.",Not Dark Pattern,0,0
"When you visit any website, it may store or retrieve information on your browser, mostly in the form of cookies. This information might be about you, your preferences or your device and is mostly used to make the site work as you expect it to. The information does not usually directly identify you, but it can give you a more personalized web experience. Because we respect your right to privacy, you can choose not to allow some types of cookies. Click on the different category headings to find out more and change our default settings. However, blocking some types of cookies may impact your experience of the site and the services we are able to offer. ",Not Dark Pattern,0,0
ONLY 3 LEFT IN STOCK.,Scarcity,1,0
Product Info,Not Dark Pattern,0,0
We're offline,Not Dark Pattern,0,0
There are remote carnivals.,Not Dark Pattern,0,1
Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago,Social Proof,1,0
1 person is looking at this item.,Social Proof,1,0
The jeans are almost famous.,Not Dark Pattern,0,1
Exotic Bird Food,Not Dark Pattern,0,0
"Sierra in Cypress, California bought Beauty In All Dress, Dusty Blue about 46 minutes ago",Social Proof,1,0
SAVE $300.00\nfor limited time,Urgency,1,0
Cowgirls,Not Dark Pattern,0,0
"Debby in Harpers Ferry, United States just bought: Icing Pen Decorating Tool",Social Proof,1,0
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,Social Proof,1,0
I prefer to pay full price.,Misdirection,1,1
 Eyelashes ,Not Dark Pattern,0,0
"No thanks, I don't want a free gift.",Misdirection,1,0
 MIN Twins ,Not Dark Pattern,0,0
"Both of these jerseys are awesome, I couldn’t have asked for better quality.",Not Dark Pattern,0,0
Screen print graphics,Not Dark Pattern,0,0
 Payment Methods ,Not Dark Pattern,0,0
The fashion forward.,Not Dark Pattern,0,1
Carl F. bought a King.,Social Proof,1,1
"Check your orders, in-store quotes & more",Not Dark Pattern,0,0
You can save up to 49% off.,Misdirection,1,1
LEGO Sondersets Saison Polybags Promotionals ExklusiveOpens in a new window or tab,Not Dark Pattern,0,0
Deals of the Week,Not Dark Pattern,0,0
"No thanks, I don't want to look my best",Misdirection,1,0
Tapestry Guide,Not Dark Pattern,0,0
LAST 1 LEFT,Scarcity,1,0
Cincinnati Bengals T-Shirts,Not Dark Pattern,0,0
 Glow Gear ,Not Dark Pattern,0,0
CareersAbout UsAffiliatesPrivacy SettingsAdvertise with usHelpSite map,Not Dark Pattern,0,0
Limited Time Offers,Urgency,1,0
There is a 20% discount on valentine's day delicacies.,Urgency,1,1
 Italy € EUR ,Not Dark Pattern,0,0
 TERMS OF SALE ,Not Dark Pattern,0,0
Jewelry Care Kit,Not Dark Pattern,0,0
There is a collection of games.,Not Dark Pattern,0,1
FilterSortFeaturedPrice: Low to HighPrice: High to LowAlphabetical: A-ZAlphabetical: Z-A,Not Dark Pattern,0,0
Selling fast!,Scarcity,1,0
There is a limited time offer on men's Chinos and pocket pants.,Urgency,1,1
"Hurry, this is a limited time offer.",Urgency,1,1
 Active Filters English (United States) English (United States) ✘ Remove Filter ,Not Dark Pattern,0,0
In Stock Only 5 left!,Scarcity,1,0
Victoria Beckham is the wife of David Beckham.,Not Dark Pattern,0,1
Something can be added to make it even more special.,Misdirection,1,1
 Drive and Focus ,Not Dark Pattern,0,0
Only 5 left,Scarcity,1,0
"Don't snooze, only 1 left",Scarcity,1,0
Epilepsy Safe Profile: this profile enables people with epilepsy to safely use the website by eliminating the risk of seizures resulting from flashing or blinking animations and risky color combinations.,Not Dark Pattern,0,0
 View All Mattress Accessories ,Not Dark Pattern,0,0
 Businesses in the EU buying from a business in the same country are also charged VAT.,Not Dark Pattern,0,0
Limited Time Only · Online Only,Urgency,1,0
It is printed.,Not Dark Pattern,0,1
There are other items on the special offer.,Misdirection,1,1
SAVE TODAY: Save 20% on lighting by Le Klint. Limited time only.,Urgency,1,0
"Size low on stock, only 1 item left",Scarcity,1,0
The Apple iPhone X.,Not Dark Pattern,0,1
 Bioactive Custodians ,Not Dark Pattern,0,0
Trending now! Added to basket 490 times today,Social Proof,1,0
All of you.,Not Dark Pattern,0,1
Two other people viewed this in the last few hours.,Social Proof,1,1
Only 1 Item(s) left,Scarcity,1,0
Someone in Mount Louisa bought a Coleman Folding Table & Bench Set 2 minutes ago,Social Proof,1,0
Protect Your Gear,Misdirection,1,0
RegionBracket Right,Not Dark Pattern,0,0
I don't like saving.,Misdirection,1,1
85 have it in their cart,Social Proof,1,0
"Metal - Brass , hollow from inside ",Not Dark Pattern,0,0
The best recovery sellers.,Not Dark Pattern,0,1
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",Social Proof,1,0
We are currently accepting and processing orders from following:,Not Dark Pattern,0,0
Toe Ring,Not Dark Pattern,0,0
I WANT TO PAY MORE LATER ;),Misdirection,1,0
Other Promotions,Not Dark Pattern,0,0
Only 3 Left In Stock,Scarcity,1,0
5 LEFT,Scarcity,1,0
"No Thanks, I like paying full price.",Misdirection,1,0
"Only 5 left , In Stock",Scarcity,1,0
"Order soon, only 1 left!",Scarcity,1,0
"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",Social Proof,1,0
These pieces are not yet in stock but will be shipped as soon as they are available. The estimated ship date will be noted on the product page.,Not Dark Pattern,0,0
LOW STOCK (ONLY 10 LEFT!),Scarcity,1,0
23 People viewing this product,Social Proof,1,0
 Baby & Toddler Toys ,Not Dark Pattern,0,0
The remotes are from the TSX.,Not Dark Pattern,0,1
3 PEOPLE VIEWING,Social Proof,1,0
LIMITED TIME ONLY,Urgency,1,0
You can order within 0 0 2 4 1 10 65.,Urgency,1,1
2 items left,Scarcity,1,0
ONLY 20 LEFT IN STOCK,Scarcity,1,0
"We are one of the best online printing technology & solution company successfully serving local and international customers to cherish the joy, love and precious moments in life with various products. Being an instrument to spread your joy and love in a beautiful way we take pride in providing the best quality services. ",Not Dark Pattern,0,0
SELLING FAST! GET 10% OFF THIS ITEM. ACTIVATE NOW.,Scarcity,1,0
 Best Deals of the Month: April Edition ,Not Dark Pattern,0,0
 View all Ink categories ,Not Dark Pattern,0,0
Only 5 left in stock,Scarcity,1,0
Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago,Social Proof,1,0
 Laundry & Cleaning ,Not Dark Pattern,0,0
"Someone in DOVER, United States just bought Crew 15 mins ago",Social Proof,1,0
LIMITED TIME OFFER MEN'S CHINOS & 5-POCKET PANTS BUY 2 FOR $59.90 EACH SHOP NOW,Urgency,1,0
 Upcoming Events ,Not Dark Pattern,0,0
Golf Shop,Not Dark Pattern,0,0
Loading interface...,Not Dark Pattern,0,0
The World Fair Trade Organization Label guarantees that People Tree follows Fair Trade best practices in our organisation.,Not Dark Pattern,0,0
jennifer just bought Rainbow Moonstone Healing Heartabout 6 hours ago,Social Proof,1,0
 Bento Lunch Boxes & Food Containers ,Not Dark Pattern,0,0
Only 4 copies left,Scarcity,1,0
"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",Social Proof,1,0
Shop Safely And Securely,Not Dark Pattern,0,0
There are over 200 people watching this offer.,Social Proof,1,1
"James in Cashion, Oklahoma just bought a car.",Social Proof,1,1
| Add to Compare,Not Dark Pattern,0,0
Value of Product,Not Dark Pattern,0,0
"Monira in Doha, Qatar purchased a LilyVanity™ Velvet Box",Social Proof,1,0
No thanks. I don’t want deals.,Misdirection,1,0
"No thanks, I don't like exclusive offers",Misdirection,1,0
The day begins with a bang.,Urgency,1,1
0 Days 2 Hours 57 Minutes 53 Seconds,Urgency,1,0
The Mother of the Bride Dress has a ribbon.,Not Dark Pattern,0,1
"Our most recent customers are from New Rochelle, Roseville, and Brooksville",Social Proof,1,0
 Intercoastal Performance Pant - True Navy ,Not Dark Pattern,0,0
Save up to 60% when you grab a matching pair.,Misdirection,1,1
"Sponges, Mitts & Bath Brushes",Not Dark Pattern,0,0
 School Shoes,Not Dark Pattern,0,0
To read about it.,Not Dark Pattern,0,1
There are candy and snacks.,Not Dark Pattern,0,1
Synthesis E-MTB Alloy Rear Wheel,Not Dark Pattern,0,0
Returns / Warranty,Not Dark Pattern,0,0
Flowers Trivia:,Not Dark Pattern,0,0
FOR A LIMITED TIME ONLY,Urgency,1,0
Someone from Airdrie & 10820 others bought this item recently.,Social Proof,1,0
