String,Type,label,predicate
"No thanks, I don't like winning",Misdirection,1,Confirmshaming
Want Free Shipping?,Misdirection,1,Trick Questions
Only 4 items left in stock.,Scarcity,1,Low-stock Messages
"No thanks, I will pay full price.",Misdirection,1,Confirmshaming
MORE WAYS TO SHOP,Not Dark Pattern,0,None
"No, I'll rather pay full price.",Misdirection,1,Confirmshaming
Don’t worry. We’ve got your back.,Not Dark Pattern,0,None
Customer also shopped for,Misdirection,1,Pressured Selling
Want Free Shipping?,Misdirection,1,Trick Questions
Round Boards,Not Dark Pattern,0,None
 EVO SP All EVO SP parts and accessories ,Not Dark Pattern,0,None
"No thank you, I prefer to pay full price",Misdirection,1,Confirmshaming
Joybird Design House,Not Dark Pattern,0,None
 Sprouting ,Not Dark Pattern,0,None
"No thanks, I hate cool stuff",Misdirection,1,Confirmshaming
Shop all,Not Dark Pattern,0,None
"Due To HIGH Demand, Cart Expires In: 08:41",Urgency,1,Countdown Timers
 All consumers in the EU are charged VAT on the purchase of goods and services.,Not Dark Pattern,0,None
Only 1 left in stock,Scarcity,1,Low-stock Messages
3 LEFT,Scarcity,1,Low-stock Messages
"No Thanks, I Prefer Paying Full Price",Misdirection,1,Confirmshaming
 Sustainably made,Not Dark Pattern,0,None
ONLY 1 LEFT IN STOCK,Scarcity,1,Low-stock Messages
"No thanks, I’d rather pay more",Misdirection,1,Confirmshaming
No thanks. I prefer paying full price.,Misdirection,1,Confirmshaming
Discount pending $10 OFF 00:30:00,Urgency,1,Countdown Timers
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,Social Proof,1,Activity Notifications
Limited time offer,Urgency,1,Limited-time Messages
"Oscar from Cajamarca, Peru purchased",Social Proof,1,Activity Notifications
Set SALE Into Summer ,Not Dark Pattern,0,None
 Women's Sandals ,Not Dark Pattern,0,None
In demand,Scarcity,1,High-demand Messages
DressesFootwearHatsHoodies & SweatshirtsJerseysPantsSleepwear & UnderwearSwim CollectionT-ShirtsSale Items- View All -,Not Dark Pattern,0,None
23 People viewing this product,Social Proof,1,Activity Notifications
Flash Sale ends in SHOP NOW  ,Urgency,1,Limited-time Messages
Yes! Upgrade my purchase,Misdirection,1,Pressured Selling
"Mother’s Day is undoubtedly a significant occasion for all mothers. But, for the new moms, it is even more special. If you........... Read More...",Not Dark Pattern,0,None
ONLY 2 LEFT,Scarcity,1,Low-stock Messages
"No Thanks, I Don't Like Saving Money.",Misdirection,1,Confirmshaming
 PAVILION LONG SLEEVE SHIRT DRESS Cornflower Stripe ,Not Dark Pattern,0,None
"Once a celebrated author of short stories now in his twilight years, ",Not Dark Pattern,0,None
Full HD 144Hz IPS Anti-Glare (1920 x 1080) FREE Upgrade (Limited time offer!),Urgency,1,Limited-time Messages
Only 1 left in stock,Scarcity,1,Low-stock Messages
232 people are viewing this offer!,Social Proof,1,Activity Notifications
AdjustableSnapbacksSale Items- View All -,Not Dark Pattern,0,None
"When you place healing crystals in a symmetrical fashion and activate it with a crystal wand, the pattern is charged to send messages to the universe. A healing crystal grid uses sophisticated symmetry for manifestation.",Not Dark Pattern,0,None
Only 20 left,Scarcity,1,Low-stock Messages
Glow Gear,Not Dark Pattern,0,None
Yes! Upgrade my purchase,Misdirection,1,Pressured Selling
DON'T MISS ON THESE AWESOME ITEMS / DON'T MISS ON OUR TABLE DECORATION SYSTEM,Misdirection,1,Pressured Selling
"No Thanks, I'd Rather Pay Full Price",Misdirection,1,Confirmshaming
" Port, Sherry & Sweet Wine ",Not Dark Pattern,0,None
Long African American Wigs,Not Dark Pattern,0,None
35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35 - HURRY! ENDS IN  16H 59M 06S,Urgency,1,Countdown Timers
Add on something to make it extra special!,Misdirection,1,Pressured Selling
Pillowcases & Shams,Not Dark Pattern,0,None
With 1-year Care Subscription 10 days history,Misdirection,1,Pressured Selling
"No thanks, I don't like getting free stuff.",Misdirection,1,Confirmshaming
This offer is only VALID if you add to cart now!,Misdirection,1,Pressured Selling
ONLY 3 LEFT! GET IT NOW!,Scarcity,1,Low-stock Messages
"No, I don't feel lucky",Misdirection,1,Confirmshaming
Your order is prioritized for 13:22 minutes!,Urgency,1,Countdown Timers
 Supporting All Artists Create because you can ,Not Dark Pattern,0,None
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,Urgency,1,Countdown Timers
Focus remotes,Not Dark Pattern,0,None
"SALE ENDS IN 19 DAYS, 9 HOURS, 50 MINUTES, 54 SECONDS",Urgency,1,Countdown Timers
Boys Shorts,Not Dark Pattern,0,None
Currently less than 10 available,Scarcity,1,Low-stock Messages
Only 5 left,Scarcity,1,Low-stock Messages
Boys Green School Uniforms,Not Dark Pattern,0,None
Current Offers,Not Dark Pattern,0,None
"Someone in Joliet, Illinois purchased a Yocan Evolve Plus XL Vaporizer",Social Proof,1,Activity Notifications
Creators' Council,Not Dark Pattern,0,None
13:09:27 HOURS MINUTES SECONDS Sale Ends Once The Timer Hits Zero!,Urgency,1,Countdown Timers
Point & Shoots,Not Dark Pattern,0,None
"[NO THANKS, I'LL JUST WALK]",Misdirection,1,Confirmshaming
3 left in stock,Scarcity,1,Low-stock Messages
99 people are looking at this right now,Social Proof,1,Activity Notifications
Your cart is reserved for 14:05 minutes!,Urgency,1,Countdown Timers
KidsAuthentic,Not Dark Pattern,0,None
"Sign Up To Our Newsletter To Receive News, Offers And Promotions.",Not Dark Pattern,0,None
"No thanks, I don't like winning.",Misdirection,1,Confirmshaming
 Low Maintenance Plants ,Not Dark Pattern,0,None
Expand My eBay,Not Dark Pattern,0,None
Drawstring Backpacks,Not Dark Pattern,0,None
Only 3 left in stock.,Scarcity,1,Low-stock Messages
How/why the homepage uses cookies,Not Dark Pattern,0,None
"Someone from South Gate, California just purchased the Admiral JR / Spektrum Servo Connector Plug Set (Male and Female - 2 Pairs)",Social Proof,1,Activity Notifications
Site Wide Savings for the Entire Family! Pricing is off Rogan's Shoes every day Low Prices! Prices are already reflected on the site. Limited time only! Restrictions apply. Online Only.,Urgency,1,Limited-time Messages
Only 1 left!,Scarcity,1,Low-stock Messages
"No thanks, I’ll skip this amazing super-saver deal. I don’t need so many beautiful textures",Misdirection,1,Confirmshaming
Last purchased at 11:19am today.,Social Proof,1,Activity Notifications
"No thanks, I just want the item",Misdirection,1,Confirmshaming
Product Recycling,Not Dark Pattern,0,None
Would you like to purchase an Extended Protection Plan?,Misdirection,1,Pressured Selling
Someone in Louisville Kentucky United States Purchased Gold Presidential Bracelet With Watch Buckle 9 hours ago,Social Proof,1,Activity Notifications
commonpandacom@commonpandacom,Not Dark Pattern,0,None
 OH SHIP! Looks like that page wasn't found ,Not Dark Pattern,0,None
Plus Size Ripped Jeans,Not Dark Pattern,0,None
Only 1.75 yards left in stock!,Scarcity,1,Low-stock Messages
Plus Size Graphic Tops,Not Dark Pattern,0,None
"Hurry, before it is gone! Limited time remaining!",Urgency,1,Limited-time Messages
Grab yourself a bargain.,Misdirection,1,Pressured Selling
"No thanks, I want to pay full price",Misdirection,1,Confirmshaming
"No, I don't feel lucky",Misdirection,1,Confirmshaming
"Items in your cart are in high demand, but we have reserved your order.",Scarcity,1,High-demand Messages
Certified Face Masks,Not Dark Pattern,0,None
Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,Social Proof,1,Activity Notifications
Popular item! 🔥 27 people recently purchased this.,Social Proof,1,Activity Notifications
Taxes and shipping will be estimated at checkout.,Not Dark Pattern,0,None
Unique and personalized products to go as yourself.,Not Dark Pattern,0,None
Only 1 items left,Scarcity,1,Low-stock Messages
"UP TO 60% OFF SPRING SALE PLUS 10% OFF ALL SHOWERS ENTER CODE SHOWERS10 AT CHECKOUT, MUST END TUESDAY 02DAYS  :  04HOURS  :  13MINS  :  28SECS",Urgency,1,Countdown Timers
Rose Gold Shoes,Not Dark Pattern,0,None
"$3,159.20 $3,949.00 Limited time only",Urgency,1,Limited-time Messages
Manage Consent Preferences,Not Dark Pattern,0,None
"No Thanks, I rather pay full price",Misdirection,1,Confirmshaming
MOST POPULAR,Social Proof,1,Activity Notifications
"Subscribing means you agree to receive our emails, more details please refer to ourprivacy policy.",Not Dark Pattern,0,None
Hurry up! 22 people other than you have this product in their cart,Social Proof,1,Activity Notifications
Hurry up! Only 11 items left,Scarcity,1,Low-stock Messages
HURRY ONLY 1 ITEM LEFT!,Scarcity,1,Low-stock Messages
異業合作 Cooperation,Not Dark Pattern,0,None
Only 1 left.,Scarcity,1,Low-stock Messages
Kicks Remotes,Not Dark Pattern,0,None
"Rs 4,013 (Retail Discount) + Rs 2,997 (Limited Time Coupon)",Urgency,1,Limited-time Messages
 Data Processor Privacy Policy: https://casalemedia.com/ ,Not Dark Pattern,0,None
OFFER ENDS 00:54:59,Urgency,1,Countdown Timers
Your order is reserved for 09:45 minutes!,Urgency,1,Countdown Timers
Only 3 left,Scarcity,1,Low-stock Messages
 Teething Remedies ,Not Dark Pattern,0,None
Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago,Social Proof,1,Activity Notifications
01 Hours 37 Minutes 48 Seconds 1/10s,Urgency,1,Countdown Timers
Hair Tools,Not Dark Pattern,0,None
"No thank you, I prefer to pay for shipping.",Misdirection,1,Confirmshaming
HURRY! ONLY 58 LEFT IN STOCK!,Scarcity,1,Low-stock Messages
" to resolve the issue, or ",Not Dark Pattern,0,None
Only 3 left In Stock,Scarcity,1,Low-stock Messages
Trousers & Chinos,Not Dark Pattern,0,None
Viewed 1040 times in the last 7 days,Social Proof,1,Activity Notifications
ONLY 5 LEFT!,Scarcity,1,Low-stock Messages
ONLY 5 LEFT IN STOCK,Scarcity,1,Low-stock Messages
Wish Your Loved Ones Instantly with Ferns N Petals International Services,Not Dark Pattern,0,None
Only 1 left in stock.,Scarcity,1,Low-stock Messages
No thanks. I don’t want to save money.,Misdirection,1,Confirmshaming
 Mobile Terms of Use ,Not Dark Pattern,0,None
Code of Conduct,Not Dark Pattern,0,None
sales@ecklers.net,Not Dark Pattern,0,None
"No thanks, I'd like 0% off",Misdirection,1,Confirmshaming
LIMITED TIME ONLY!,Urgency,1,Limited-time Messages
Vintage Fancy Red Bracelet Watch Women's,Not Dark Pattern,0,None
Add on something to make it extra special!,Misdirection,1,Pressured Selling
Purchased 8 times in the last few days.,Social Proof,1,Activity Notifications
Someone in Bacchus Marsh bought a Noosa Basics Deodorant Stick - Sensitive (60g) 27 seconds ago,Social Proof,1,Activity Notifications
I'd rather pay full price,Misdirection,1,Confirmshaming
Hurry! Only 1 left!,Scarcity,1,Low-stock Messages
"NO THANKS, I'D RATHER PAY FULL PRICE",Misdirection,1,Confirmshaming
Limited time offer.,Urgency,1,Limited-time Messages
Price Guaranteed For DAYS/HRS/MINS/SECS,Urgency,1,Countdown Timers
 Tights ,Not Dark Pattern,0,None
Ericdress Long Sleeve Mesh Off Shoulder Summer Dress,Not Dark Pattern,0,None
Only 7 left!,Scarcity,1,Low-stock Messages
 A Date With Duchess ,Not Dark Pattern,0,None
"Hurry, only 1 left!",Scarcity,1,Low-stock Messages
Harry Potter ,Not Dark Pattern,0,None
"No thanks, I don't like savings",Misdirection,1,Confirmshaming
"No, thanks, I´d rather pay more",Misdirection,1,Confirmshaming
"Yes, I Want To Save Money!No Thanks",Misdirection,1,Confirmshaming
10 Left,Scarcity,1,Low-stock Messages
"Our website implements the ARIA attributes (Accessible Rich Internet Applications) technique, alongside various behavioral changes, to ensure blind users visiting with screen-readers can read, comprehend, and enjoy the website’s functions. As soon as a user with a screen-reader enters your site, they immediately receive a prompt to enter the Screen-Reader Profile so they can browse and operate your site effectively. Here’s how our website covers some of the most important screen-reader requirements:",Not Dark Pattern,0,None
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,Social Proof,1,Activity Notifications
History Of The NRA,Not Dark Pattern,0,None
Fast Mover: 35 PEOPLE added this to cart today!,Social Proof,1,Activity Notifications
"No thanks! I'd rather join the """"Pay Full Price for Things"""" club.",Misdirection,1,Confirmshaming
Lean To Sheds,Not Dark Pattern,0,None
1 other customers have this item in their shopping cart,Social Proof,1,Activity Notifications
5338 people bought this,Social Proof,1,Activity Notifications
 Gameday Collection ,Not Dark Pattern,0,None
"1,142 people have added to cart recently",Social Proof,1,Activity Notifications
ONLY 5 LEFT IN STOCK!,Scarcity,1,Low-stock Messages
"Nancy in Pennsylvania purchased 24"" Italian Sterling Silver Milano Twist Adjustable Chain",Social Proof,1,Activity Notifications
Your cart is reserved for 14:57 minutes.,Urgency,1,Countdown Timers
I Don't Like to Save Money,Misdirection,1,Confirmshaming
 Our Story ,Not Dark Pattern,0,None
Kinky Curly Wigs,Not Dark Pattern,0,None
"No thanks, I don’t want to save",Misdirection,1,Confirmshaming
"No Thanks, I Don't Want To Save",Misdirection,1,Confirmshaming
Security Cameras,Not Dark Pattern,0,None
Baby Girl Shoes,Not Dark Pattern,0,None
ONLY 2 LEFT IN STOCK!,Scarcity,1,Low-stock Messages
"803 Claimed! Hurry, only a few left!",Scarcity,1,Low-stock Messages
 Cordless Phones For Seniors ,Not Dark Pattern,0,None
2 PEOPLE HAVE ADDED THIS ITEM TO THEIR CART TODAY,Social Proof,1,Activity Notifications
40 users are currently active on our website just now.,Social Proof,1,Activity Notifications
ADD FOR BETTER RESULTS,Misdirection,1,Pressured Selling
only 5 left in stock!,Scarcity,1,Low-stock Messages
Something went wrong. Please try again,Not Dark Pattern,0,None
"2,221 people have purchased this item",Social Proof,1,Activity Notifications
Enter your email VIEW MY CODE OFFER EXPIRES IN: 0 minutes 00 seconds EXTRA 10% OFF,Urgency,1,Countdown Timers
 Terms of Service ,Not Dark Pattern,0,None
Only 4 Left!,Scarcity,1,Low-stock Messages
On Sale! Limited Time Offer!,Urgency,1,Limited-time Messages
Corporate Responsibility Report,Not Dark Pattern,0,None
2day 13:49:51 Left,Urgency,1,Countdown Timers
Limited Time Only - Up to 30% OFF Freshwater Plants! SHOP NOW >,Urgency,1,Limited-time Messages
Your order is reserved for 09:35 minutes!,Urgency,1,Countdown Timers
"Crystal Li in Flushing, United States purchased a",Social Proof,1,Activity Notifications
"""We'd love to send you emails with offers and new products from New Balance Athletics, Inc. but if you do not wish to receive these updates, please tick this box.",Misdirection,1,Trick Questions
407 customers have viewed this item recently,Social Proof,1,Activity Notifications
" Gift TypeFlowers, Cakes, Plants, etc. ",Not Dark Pattern,0,None
9 people are viewing this.,Social Proof,1,Activity Notifications
Baby Nursing & Feeding,Not Dark Pattern,0,None
🔥 9 people are viewing this.,Social Proof,1,Activity Notifications
Animals & Action Figures,Not Dark Pattern,0,None
"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",Social Proof,1,Activity Notifications
Women's ApparelCollection ,Not Dark Pattern,0,None
LIMITED TIME BLOW OUT SALE UP TO 70% OFF! 110% BEST PRICE GUARANTEE!,Urgency,1,Limited-time Messages
Hurry Up ! Time is running out,Urgency,1,Limited-time Messages
Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago,Social Proof,1,Activity Notifications
 Resend One time Pin ,Not Dark Pattern,0,None
"We are one of the best online printing technology & solution company successfully serving local and international customers to cherish the joy, love and precious moments in life with various products. Being an instrument to spread your joy and love in a beautiful way we take pride in providing the best quality services. ",Not Dark Pattern,0,None
"No Thanks, I prefer paying full price.",Misdirection,1,Confirmshaming
"If you click continue below we will be happy to tell you about discounts, money off and new products from Very by e-mail and text,
unless you tell us you DO NOT want to hear about them, by ticking here.
If you would like to receive offers from carefully selected 3rd parties, please tick here",Misdirection,1,Trick Questions
"JULIE in Oak Brook, United States purchased a Watercolor Brush Pens 24 Refillable Colors with Travel Case about 10 hours ago",Social Proof,1,Activity Notifications
9 people are viewing this.,Social Proof,1,Activity Notifications
"No, thanks, I´d rather pay more",Misdirection,1,Confirmshaming
6 others have already bought this deal today!,Social Proof,1,Activity Notifications
ONLY 8 LEFT,Scarcity,1,Low-stock Messages
Office Supplies & Decor,Not Dark Pattern,0,None
Limited time remaining!,Urgency,1,Limited-time Messages
"No thanks, I'd like 0% off",Misdirection,1,Confirmshaming
"Oliver in Rotterdam, Netherlands purchased a England Away Soccer Shorts 2018 About 9 hours ago",Social Proof,1,Activity Notifications
Universal Fit Collapsible Smart Phone Stand,Not Dark Pattern,0,None
"Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown",Social Proof,1,Activity Notifications
11 people have purchased this item,Social Proof,1,Activity Notifications
Only 1 left,Scarcity,1,Low-stock Messages
1 left at this price,Scarcity,1,Low-stock Messages
"Nah, I'll pay full price",Misdirection,1,Confirmshaming
ONLY 1 LEFT!,Scarcity,1,Low-stock Messages
Only a few left,Scarcity,1,Low-stock Messages
404 Orders,Social Proof,1,Activity Notifications
"Only 5 left , In Stock",Scarcity,1,Low-stock Messages
Your order is reserved for 07:28 minutes!,Urgency,1,Countdown Timers
SUBSCRIPTION SUCCESSFUL. THANK YOU!,Not Dark Pattern,0,None
Tidal Waves Collection,Not Dark Pattern,0,None
"Stacey in Saint Marys, United States purchased Extra Long (10 Ft) Fiber Cloth Sync & Charge USB Android Cable - Assorted Colors about 30 minutes ago",Social Proof,1,Activity Notifications
"Clothes, Shoes & Accessories",Not Dark Pattern,0,None
Shop Men's Styles,Not Dark Pattern,0,None
 United States ,Not Dark Pattern,0,None
DAYS HRS MINS SECS,Urgency,1,Countdown Timers
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,1,High-demand Messages
 Landofcoder can power almost ANY marketplace you think of,Not Dark Pattern,0,None
Your order has been reserved for,Urgency,1,Limited-time Messages
Womens Platform Shoes,Not Dark Pattern,0,None
"No, thanks. I'd rather pay full price.",Misdirection,1,Confirmshaming
Towel Rails & Racks,Not Dark Pattern,0,None
LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS,Urgency,1,Countdown Timers
Almost gone! Only 3 left In Stock,Scarcity,1,Low-stock Messages
 Limited Edition Colors ,Not Dark Pattern,0,None
52 people are looking at this right now.,Social Proof,1,Activity Notifications
Offer ends in,Urgency,1,Limited-time Messages
Someone in Red Cliffs bought a RHK Yamaha YZ/YZF/WRF 99-16 Blue Pursuit Footpegs 3 minutes ago,Social Proof,1,Activity Notifications
No thanks. I'd rather pay full price.,Misdirection,1,Confirmshaming
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,Social Proof,1,Activity Notifications
Photography Projector,Not Dark Pattern,0,None
Availability: Low Stock 4 Remaining,Scarcity,1,Low-stock Messages
Root Touch Up + Brow Filler,Not Dark Pattern,0,None
ONLY 1 LEFT IN STOCK!,Scarcity,1,Low-stock Messages
activate within 10:00,Urgency,1,Countdown Timers
7 users have looked at this product in the past 6 minutes,Social Proof,1,Activity Notifications
0 DAYS22 HOURS13 MINUTES21 SECONDS ,Urgency,1,Countdown Timers
 Face Masks,Not Dark Pattern,0,None
Join the Team,Not Dark Pattern,0,None
Only 5 pcs left!,Scarcity,1,Low-stock Messages
Shop by Activity,Not Dark Pattern,0,None
LIMITED TIME ONLY *on select models,Urgency,1,Limited-time Messages
"Leah Rich in Louisville, United States purchased a",Social Proof,1,Activity Notifications
"No, I Don't Like Discounts",Misdirection,1,Confirmshaming
Explosive Offers! 80% Off Everything 07:25:41,Urgency,1,Countdown Timers
"Available, only 2 left",Scarcity,1,Low-stock Messages
"No thanks, I don't like FREE stuff.",Misdirection,1,Confirmshaming
Clear filter,Not Dark Pattern,0,None
Hurry! Only 2 left!,Scarcity,1,Low-stock Messages
78 Persons looking for this product,Social Proof,1,Activity Notifications
80% offers claimed. Hurry up!,Scarcity,1,High-demand Messages
 Dry Direct Incontinence Personal Care Daily Living Safety Bedroom Nutrition Mobility Lift Aids Medical Supplies Plus Size ,Not Dark Pattern,0,None
Enable cookies to use the shopping cart,Not Dark Pattern,0,None
"No thanks, I don't want a free gift.",Misdirection,1,Confirmshaming
Signup for email updates from Car and Truck Remotes!,Not Dark Pattern,0,None
Only one item left in stock!,Scarcity,1,Low-stock Messages
Tick here if you do not want to receive Promotional Offers by Post Tick here if you do wish to receive Promotional Offers by email and/or SMS Tick here if you would like to receive Offers from selected third parties,Misdirection,1,Trick Questions
Hair type: Curly,Not Dark Pattern,0,None
Sale Clothing,Not Dark Pattern,0,None
 Drive and Focus ,Not Dark Pattern,0,None
$69.50 For A Limited Time Details,Urgency,1,Limited-time Messages
Watch how its done,Not Dark Pattern,0,None
*Freight/Higher Freight charges may apply to some areas. Click here to view Shipping Policy,Not Dark Pattern,0,None
Limited Quantity,Scarcity,1,Low-stock Messages
Don't miss out! We've sold 38 in the last few days.,Social Proof,1,Activity Notifications
 手錶 / Watches ,Not Dark Pattern,0,None
00Days17Hours12Mins13Secs,Urgency,1,Countdown Timers
HAUTELOOK 04:53,Urgency,1,Countdown Timers
"Flash Sale Alert! You can now buy Utorch Corridor Porch Aisle Lights from Gearbest.com for only $7.99 (47% off). Hurry up, limited time offer!",Urgency,1,Limited-time Messages
"Hurry, only 3 left!",Scarcity,1,Low-stock Messages
Medium GreyLogan T-Shirt Jersey Comforter and Sham Set,Not Dark Pattern,0,None
Add and save!,Misdirection,1,Pressured Selling
 PopGrip Antimicrobial Refine by Product Type: PopGrip Antimicrobial ,Not Dark Pattern,0,None
I'LL PAY FULL PRICE,Misdirection,1,Confirmshaming
LIMITED TIME: FREE SHIPPING LOWERED TO ORDERS OVER $69.95!,Urgency,1,Limited-time Messages
Only 2 left!,Scarcity,1,Low-stock Messages
 We value your privacy We use cookies to improve your website experience. We also use third-party cookies for marketing purposes. Learn more. ,Not Dark Pattern,0,None
"Only available for a LIMITED TIME, so get yours TODAY!",Urgency,1,Limited-time Messages
New Vintage Stylish Belt Watch - Women,Not Dark Pattern,0,None
Readers looking for some old-fashioned storytelling with a sprinkling of magic will find it here. ,Not Dark Pattern,0,None
Let's make sure you have everything else you need,Misdirection,1,Pressured Selling
"No, thanks. I'd prefer not to save.",Misdirection,1,Confirmshaming
70% offers claimed. Hurry up!,Scarcity,1,High-demand Messages
LIMITED TIME LEFT! 00 : 46 : 11,Urgency,1,Countdown Timers
1 day 08:15:25,Urgency,1,Countdown Timers
FANSTASTIC DEALS,Misdirection,1,Pressured Selling
Your order is reserved for 09:35 minutes!,Urgency,1,Countdown Timers
Someone in Red Cliffs bought a RHK Yamaha YZ/YZF/WRF 99-16 Blue Pursuit Footpegs 3 minutes ago,Social Proof,1,Activity Notifications
