Type,predicate,String,norm_text,cluster_id,canonical_example,canonical_norm
Social Proof,Activity Notifications,"Someone in Joliet, Illinois purchased a Yocan Evolve Plus XL Vaporizer",someone in joliet illinois purchase a yocan evolve plus xl vaporizer,84,"Someone in Joliet, Illinois purchased a Yocan Evolve Plus XL Vaporizer",someone in joliet illinois purchase a yocan evolve plus xl vaporizer
Misdirection,Pressured Selling,Almost there—confirm details to receive free gift.,almost there confirm details to receive free gift,349,Almost there—confirm details to receive free gift.,almost there confirm details to receive free gift
Social Proof,Activity Notifications,99 people are looking at this right now,<num> person are looking at this right now,132,99 people are looking at this right now,<num> person are looking at this right now
Misdirection,Confirmshaming,"No thanks, I don't like winning.",no thanks i don t like winning,276,"No thanks, I don't like winning",no thanks i don t like winning
Social Proof,Activity Notifications,"Someone from South Gate, California just purchased the Admiral JR / Spektrum Servo Connector Plug Set (Male and Female - 2 Pairs)",someone from south gate california just purchase the admiral jr spektrum servo connector plug set male and female - <num> pairs,99,"Someone from South Gate, California just purchased the Admiral JR / Spektrum Servo Connector Plug Set (Male and Female - 2 Pairs)",someone from south gate california just purchase the admiral jr spektrum servo connector plug set male and female - <num> pairs
Misdirection,Confirmshaming,"No thanks, I’ll skip this amazing super-saver deal. I don’t need so many beautiful textures",no thanks i ll skip this amazing super-saver deal i don t need so many beautiful textures,295,"No thanks, I’ll skip this amazing super-saver deal. I don’t need so many beautiful textures",no thanks i ll skip this amazing super-saver deal i don t need so many beautiful textures
Social Proof,Activity Notifications,Last purchased at 11:19am today.,last purchase at <num> <num> am today,57,Last purchased at 11:19am today.,last purchase at <num> <num> am today
Misdirection,Confirmshaming,"No thanks, I just want the item",no thanks i just want the item,303,"No thanks, I just want the item",no thanks i just want the item
Misdirection,Pressured Selling,Would you like to purchase an Extended Protection Plan?,would you like to purchase an extended protection plan,371,Would you like to purchase an Extended Protection Plan?,would you like to purchase an extended protection plan
Social Proof,Activity Notifications,Someone in Louisville Kentucky United States Purchased Gold Presidential Bracelet With Watch Buckle 9 hours ago,someone in louisville kentucky united states purchase gold presidential bracelet with watch buckle <num> hours ago,182,Someone in Louisville Kentucky United States Purchased Gold Presidential Bracelet With Watch Buckle 9 hours ago,someone in louisville kentucky united states purchase gold presidential bracelet with watch buckle <num> hours ago
Misdirection,Pressured Selling,Recommended option selected (you can modify later).,recommended option selected you can modify later,345,Recommended option selected (you can modify later).,recommended option selected you can modify later
Misdirection,Confirmshaming,"No thanks, I want to pay full price",no thanks i want to pay full price,286,"No thanks, I want to pay full price",no thanks i want to pay full price
Misdirection,Confirmshaming,"No, I don't feel lucky",no i don t feel lucky,260,"No, I don't feel lucky",no i don t feel lucky
Social Proof,Activity Notifications,Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,someone in new lynn bought a kogan a <num> earphones with inline control for ios android <num> hour ago,61,Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,someone in new lynn bought a kogan a <num> earphones with inline control for ios android <num> hour ago
Social Proof,Activity Notifications,Popular item! 🔥 27 people recently purchased this.,popular item <num> person recent purchase this,20,Popular item! 🔥 27 people recently purchased this.,popular item <num> person recent purchase this
Misdirection,Confirmshaming,"No Thanks, I rather pay full price",no thanks i rather pay full price,307,"No Thanks, I rather pay full price",no thanks i rather pay full price
Social Proof,Activity Notifications,MOST POPULAR,most popular,26,MOST POPULAR,most popular
Social Proof,Activity Notifications,Hurry up! 22 people other than you have this product in their cart,hurry up <num> person other than you have this product in their cart,18,Hurry up! 22 people other than you have this product in their cart,hurry up <num> person other than you have this product in their cart
Social Proof,Activity Notifications,Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago,cheryl in ontario bought <num> organic reishi mushroom powder <num> g about <num> minutes ago,171,Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago,cheryl in ontario bought <num> organic reishi mushroom powder <num> g about <num> minutes ago
Misdirection,Confirmshaming,"No thank you, I prefer to pay for shipping.",no thank you i prefer to pay for shipping,312,"No thank you, I prefer to pay for shipping.",no thank you i prefer to pay for shipping
Social Proof,Activity Notifications,Viewed 1040 times in the last 7 days,viewed <num> times in the last <num> days,81,Viewed 1040 times in the last 7 days,viewed <num> times in the last <num> days
Misdirection,Pressured Selling,Recommended option selected (you can modify later).,recommended option selected you can modify later,345,Recommended option selected (you can modify later).,recommended option selected you can modify later
Misdirection,Pressured Selling,Almost there—confirm details to receive extra coupon.,almost there confirm details to receive extra coupon,348,Almost there—confirm details to receive extra coupon.,almost there confirm details to receive extra coupon
Misdirection,Pressured Selling,Add on something to make it extra special!,add on something to make it extra special,380,Add on something to make it extra special!,add on something to make it extra special
Social Proof,Activity Notifications,Purchased 8 times in the last few days.,purchased <num> times in the last few days,6,Purchased 8 times in the last few days.,purchased <num> times in the last few days
Social Proof,Activity Notifications,Someone in Bacchus Marsh bought a Noosa Basics Deodorant Stick - Sensitive (60g) 27 seconds ago,someone in bacchus marsh bought a noosa basics deodorant stick - sensitive <num> g <num> seconds ago,103,Someone in Bacchus Marsh bought a Noosa Basics Deodorant Stick - Sensitive (60g) 27 seconds ago,someone in bacchus marsh bought a noosa basics deodorant stick - sensitive <num> g <num> seconds ago
Misdirection,Confirmshaming,I'd rather pay full price,i d rather pay full price,261,"No thanks, I'd rather pay full price.",no thanks i d rather pay full price
Misdirection,Trick Questions,Your discount is applied.*  *Additional service fee may appear at checkout.,your discount is applied additional service fee may appear at checkout,405,Your discount is applied.*  *Additional service fee may appear at checkout.,your discount is applied additional service fee may appear at checkout
Misdirection,Confirmshaming,"No thanks, I don't like savings",no thanks i don t like savings,327,"No thanks, I don't like savings",no thanks i don t like savings
Misdirection,Trick Questions,Almost there—confirm details to receive bonus points.,almost there confirm details to receive bonus points,406,Almost there—confirm details to receive bonus points.,almost there confirm details to receive bonus points
Misdirection,Confirmshaming,"Yes, I Want To Save Money!No Thanks",yes i want to save money no thanks,344,"Yes, I Want To Save Money!No Thanks",yes i want to save money no thanks
Social Proof,Activity Notifications,88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,<num> person view item in the last <num> hours,227,88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,<num> person view item in the last <num> hours
Social Proof,Activity Notifications,Fast Mover: 35 PEOPLE added this to cart today!,fast mover <num> person added this to cart today,199,Fast Mover: 35 PEOPLE added this to cart today!,fast mover <num> person added this to cart today
Misdirection,Confirmshaming,"No thanks! I'd rather join the """"Pay Full Price for Things"""" club.",no thanks i d rather join the pay full price for things club,339,"No thanks! I'd rather join the """"Pay Full Price for Things"""" club.",no thanks i d rather join the pay full price for things club
Social Proof,Activity Notifications,1 other customers have this item in their shopping cart,<num> other customers have this item in their shopping cart,145,1 other customers have this item in their shopping cart,<num> other customers have this item in their shopping cart
Social Proof,Activity Notifications,5338 people bought this,<num> person bought this,238,5338 people bought this,<num> person bought this
Social Proof,Activity Notifications,"1,142 people have added to cart recently",<num> person have added to cart recently,117,"1,142 people have added to cart recently",<num> person have added to cart recently
Social Proof,Activity Notifications,"Nancy in Pennsylvania purchased 24"" Italian Sterling Silver Milano Twist Adjustable Chain",nancy in pennsylvania purchase <num> italian sterling silver milano twist adjustable chain,28,"Nancy in Pennsylvania purchased 24"" Italian Sterling Silver Milano Twist Adjustable Chain",nancy in pennsylvania purchase <num> italian sterling silver milano twist adjustable chain
Misdirection,Confirmshaming,I Don't Like to Save Money,i don t like to save money,320,I Don't Like to Save Money,i don t like to save money
Misdirection,Confirmshaming,"No thanks, I don’t want to save",no thanks i don t want to save,266,"No thanks, I don’t want to save",no thanks i don t want to save
Misdirection,Confirmshaming,"No Thanks, I Don't Want To Save",no thanks i don t want to save,266,"No thanks, I don’t want to save",no thanks i don t want to save
Social Proof,Activity Notifications,2 PEOPLE HAVE ADDED THIS ITEM TO THEIR CART TODAY,<num> person have added this item to their cart today,115,2 PEOPLE HAVE ADDED THIS ITEM TO THEIR CART TODAY,<num> person have added this item to their cart today
Social Proof,Activity Notifications,40 users are currently active on our website just now.,<num> users are currently active on our website just now,8,40 users are currently active on our website just now.,<num> users are currently active on our website just now
Misdirection,Pressured Selling,Almost there—confirm details to receive extra coupon.,almost there confirm details to receive extra coupon,348,Almost there—confirm details to receive extra coupon.,almost there confirm details to receive extra coupon
Social Proof,Activity Notifications,"2,221 people have purchased this item",<num> person have purchase this item,0,"2,221 people have purchased this item",<num> person have purchase this item
Social Proof,Activity Notifications,"Crystal Li in Flushing, United States purchased a",crystal li in flushing united states purchase a,111,"Crystal Li in Flushing, United States purchased a",crystal li in flushing united states purchase a
Misdirection,Trick Questions,"""We'd love to send you emails with offers and new products from New Balance Athletics, Inc. but if you do not wish to receive these updates, please tick this box.",we d love to send you emails with offers and new products from new balance athletics inc but if you do not wish to receive these updates please tick this box,412,"""We'd love to send you emails with offers and new products from New Balance Athletics, Inc. but if you do not wish to receive these updates, please tick this box.",we d love to send you emails with offers and new products from new balance athletics inc but if you do not wish to receive these updates please tick this box
Social Proof,Activity Notifications,407 customers have viewed this item recently,<num> customers have view this item recently,140,407 customers have viewed this item recently,<num> customers have view this item recently
Social Proof,Activity Notifications,9 people are viewing this.,<num> person are view this,3,9 people are viewing this.,<num> person are view this
Social Proof,Activity Notifications,🔥 9 people are viewing this.,<num> person are view this,3,9 people are viewing this.,<num> person are view this
Social Proof,Activity Notifications,"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",someone in saint kilda victoria purchase frank queen size bed base,64,"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",someone in saint kilda victoria purchase frank queen size bed base
Social Proof,Activity Notifications,Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago,cheryl in ontario bought <num> organic reishi mushroom powder <num> g about <num> minutes ago,171,Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago,cheryl in ontario bought <num> organic reishi mushroom powder <num> g about <num> minutes ago
Misdirection,Confirmshaming,"No Thanks, I prefer paying full price.",no thanks i prefer paying full price,262,"No Thanks, I Prefer Paying Full Price",no thanks i prefer paying full price
Misdirection,Trick Questions,"If you click continue below we will be happy to tell you about discounts, money off and new products from Very by e-mail and text,
unless you tell us you DO NOT want to hear about them, by ticking here.
If you would like to receive offers from carefully selected 3rd parties, please tick here",if you click continue below we will be happy to tell you about discounts money off and new products from very by e-mail and text unless you tell us you do not want to hear about them by ticking here if you would like to receive offers from carefully selected <num> rd parties please tick here,421,"If you click continue below we will be happy to tell you about discounts, money off and new products from Very by e-mail and text,
unless you tell us you DO NOT want to hear about them, by ticking here.
If you would like to receive offers from carefully selected 3rd parties, please tick here",if you click continue below we will be happy to tell you about discounts money off and new products from very by e-mail and text unless you tell us you do not want to hear about them by ticking here if you would like to receive offers from carefully selected <num> rd parties please tick here
Social Proof,Activity Notifications,"JULIE in Oak Brook, United States purchased a Watercolor Brush Pens 24 Refillable Colors with Travel Case about 10 hours ago",julie in oak brook united states purchase a watercolor brush pens <num> refillable colors with travel case about <num> hours ago,247,"JULIE in Oak Brook, United States purchased a Watercolor Brush Pens 24 Refillable Colors with Travel Case about 10 hours ago",julie in oak brook united states purchase a watercolor brush pens <num> refillable colors with travel case about <num> hours ago
Social Proof,Activity Notifications,9 people are viewing this.,<num> person are view this,3,9 people are viewing this.,<num> person are view this
Misdirection,Confirmshaming,"No, thanks, I´d rather pay more",no thanks i d rather pay more,267,"No thanks, I’d rather pay more",no thanks i d rather pay more
Social Proof,Activity Notifications,6 others have already bought this deal today!,<num> others have already bought this deal today,148,6 others have already bought this deal today!,<num> others have already bought this deal today
Misdirection,Confirmshaming,"No thanks, I'd like 0% off",no thanks i d like <num> off,341,"No thanks, I'd like 0% off",no thanks i d like <num> off
Social Proof,Activity Notifications,"Oliver in Rotterdam, Netherlands purchased a England Away Soccer Shorts 2018 About 9 hours ago",oliver in rotterdam netherlands purchase a england away soccer shorts <num> about <num> hours ago,30,"Oliver in Rotterdam, Netherlands purchased a England Away Soccer Shorts 2018 About 9 hours ago",oliver in rotterdam netherlands purchase a england away soccer shorts <num> about <num> hours ago
Social Proof,Activity Notifications,"Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown",denise in saluda virginia bought terani couture - <num> e <num> embroidered asymmetric neck mermaid gown,109,"Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown",denise in saluda virginia bought terani couture - <num> e <num> embroidered asymmetric neck mermaid gown
Social Proof,Activity Notifications,11 people have purchased this item,<num> person have purchase this item,0,"2,221 people have purchased this item",<num> person have purchase this item
Misdirection,Pressured Selling,Processing will be faster with Express Checkout (selected).,processing will be faster with express checkout selected,346,Processing will be faster with Express Checkout (selected).,processing will be faster with express checkout selected
Social Proof,Activity Notifications,404 Orders,<num> orders,144,404 Orders,<num> orders
Social Proof,Activity Notifications,"Stacey in Saint Marys, United States purchased Extra Long (10 Ft) Fiber Cloth Sync & Charge USB Android Cable - Assorted Colors about 30 minutes ago",stacey in saint marys united states purchase extra long <num> ft fiber cloth sync charge usb android cable - assorted colors about <num> minutes ago,73,"Stacey in Saint Marys, United States purchased Extra Long (10 Ft) Fiber Cloth Sync & Charge USB Android Cable - Assorted Colors about 30 minutes ago",stacey in saint marys united states purchase extra long <num> ft fiber cloth sync charge usb android cable - assorted colors about <num> minutes ago
Misdirection,Confirmshaming,"No, thanks. I'd rather pay full price.",no thanks i d rather pay full price,261,"No thanks, I'd rather pay full price.",no thanks i d rather pay full price
Social Proof,Activity Notifications,52 people are looking at this right now.,<num> person are looking at this now,7,52 people are looking at this right now.,<num> person are looking at this now
Social Proof,Activity Notifications,Someone in Red Cliffs bought a RHK Yamaha YZ/YZF/WRF 99-16 Blue Pursuit Footpegs 3 minutes ago,someone in red cliffs bought a rhk yamaha yz yzf wrf <num> - <num> blue pursuit footpegs <num> minutes ago,63,Someone in Red Cliffs bought a RHK Yamaha YZ/YZF/WRF 99-16 Blue Pursuit Footpegs 3 minutes ago,someone in red cliffs bought a rhk yamaha yz yzf wrf <num> - <num> blue pursuit footpegs <num> minutes ago
Misdirection,Confirmshaming,No thanks. I'd rather pay full price.,no thanks i d rather pay full price,261,"No thanks, I'd rather pay full price.",no thanks i d rather pay full price
Social Proof,Activity Notifications,Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,someone in boling iago texas united states purchase seek discomfort sketch white iphone case <num> hours ago,104,Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,someone in boling iago texas united states purchase seek discomfort sketch white iphone case <num> hours ago
Social Proof,Activity Notifications,7 users have looked at this product in the past 6 minutes,<num> users have looked at this product in the past <num> minutes,168,7 users have looked at this product in the past 6 minutes,<num> users have looked at this product in the past <num> minutes
Social Proof,Activity Notifications,"Leah Rich in Louisville, United States purchased a",leah rich in louisville united states purchase a,56,"Leah Rich in Louisville, United States purchased a",leah rich in louisville united states purchase a
Misdirection,Confirmshaming,"No, I Don't Like Discounts",no i don t like discounts,274,"No thanks, I don't like discounts",no thanks i don t like discounts
Misdirection,Confirmshaming,"No thanks, I don't like FREE stuff.",no thanks i don t like free stuff,263,"No thanks, I don't like FREE stuff.",no thanks i don t like free stuff
Social Proof,Activity Notifications,78 Persons looking for this product,<num> person looking for this product,225,78 Persons looking for this product,<num> person looking for this product
Misdirection,Confirmshaming,"No thanks, I don't want a free gift.",no thanks i don t want a free gift,273,"No thanks, I don't want a free gift.",no thanks i don t want a free gift
Misdirection,Trick Questions,Tick here if you do not want to receive Promotional Offers by Post Tick here if you do wish to receive Promotional Offers by email and/or SMS Tick here if you would like to receive Offers from selected third parties,tick here if you do not want to receive promotional offers by post tick here if you do wish to receive promotional offers by email and or sms tick here if you would like to receive offers from selected third parties,428,Tick here if you do not want to receive Promotional Offers by Post Tick here if you do wish to receive Promotional Offers by email and/or SMS Tick here if you would like to receive Offers from selected third parties,tick here if you do not want to receive promotional offers by post tick here if you do wish to receive promotional offers by email and or sms tick here if you would like to receive offers from selected third parties
Social Proof,Activity Notifications,Don't miss out! We've sold 38 in the last few days.,don t miss out we ve sold <num> in the last few days,55,Don't miss out! We've sold 38 in the last few days.,don t miss out we ve sold <num> in the last few days
Misdirection,Pressured Selling,Add and save!,add and save,378,Add and save!,add and save
Misdirection,Confirmshaming,I'LL PAY FULL PRICE,i ll pay full price,264,"No thanks, I'll pay full price!",no thanks i ll pay full price
Misdirection,Pressured Selling,Let's make sure you have everything else you need,let s make sure you have everything else you need,399,Let's make sure you have everything else you need,let s make sure you have everything else you need
Misdirection,Confirmshaming,"No, thanks. I'd prefer not to save.",no thanks i d prefer not to save,340,"No, thanks. I'd prefer not to save.",no thanks i d prefer not to save
Misdirection,Pressured Selling,FANSTASTIC DEALS,fanstastic deals,393,FANSTASTIC DEALS,fanstastic deals
Social Proof,Activity Notifications,Someone in Red Cliffs bought a RHK Yamaha YZ/YZF/WRF 99-16 Blue Pursuit Footpegs 3 minutes ago,someone in red cliffs bought a rhk yamaha yz yzf wrf <num> - <num> blue pursuit footpegs <num> minutes ago,63,Someone in Red Cliffs bought a RHK Yamaha YZ/YZF/WRF 99-16 Blue Pursuit Footpegs 3 minutes ago,someone in red cliffs bought a rhk yamaha yz yzf wrf <num> - <num> blue pursuit footpegs <num> minutes ago
Misdirection,Confirmshaming,"No Thanks, I Don't Like Saving Money.",no thanks i don t like saving money,265,"No Thanks, I Don't Like Saving Money.",no thanks i don t like saving money
Social Proof,Activity Notifications,2 PEOPLE HAVE ADDED THIS ITEM TO THEIR CART TODAY,<num> person have added this item to their cart today,115,2 PEOPLE HAVE ADDED THIS ITEM TO THEIR CART TODAY,<num> person have added this item to their cart today
Social Proof,Activity Notifications,62 people have looked at this item in the last few hours.,<num> person have looked at this item in the last few hours,130,62 people have looked at this item in the last few hours.,<num> person have looked at this item in the last few hours
Social Proof,Activity Notifications,"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",someone in arden hills united states purchase <num> ml young napoleon best strawberry shortcake ejuice vaporham lincoln eliquid about <num> minutes ago,102,"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",someone in arden hills united states purchase <num> ml young napoleon best strawberry shortcake ejuice vaporham lincoln eliquid about <num> minutes ago
Misdirection,Confirmshaming,"No, I don't feel lucky",no i don t feel lucky,260,"No, I don't feel lucky",no i don t feel lucky
Social Proof,Activity Notifications,IN 43 PEOPLE'S SHOPPING BAG,in <num> person s shopping bag,41,IN 43 PEOPLE'S SHOPPING BAG,in <num> person s shopping bag
Misdirection,Confirmshaming,I'd rather pay full price,i d rather pay full price,261,"No thanks, I'd rather pay full price.",no thanks i d rather pay full price
Misdirection,Pressured Selling,Grab yourself a bargain!,grab yourself a bargain,397,Grab yourself a bargain!,grab yourself a bargain
Misdirection,Confirmshaming,"No thanks, I don't like saving money",no thanks i don t like saving money,265,"No Thanks, I Don't Like Saving Money.",no thanks i don t like saving money
Misdirection,Confirmshaming,No I'd rather not hear about exclusive offers and discounts.,no i d rather not hear about exclusive offers and discounts,315,No I'd rather not hear about exclusive offers and discounts.,no i d rather not hear about exclusive offers and discounts
