Type,predicate,String,norm_text,cluster_id,canonical_example,canonical_norm
Social Proof,Activity Notifications,"Joe M from , Bought a Cartoon Caterpillar Rigged 3D Model Recently",joe m from bought a cartoon caterpillar rigged <num> d model recently,251,"Joe M from , Bought a Cartoon Caterpillar Rigged 3D Model Recently",joe m from bought a cartoon caterpillar rigged <num> d model recently
Social Proof,Activity Notifications,"Someone from Cape Town, Western Cape, South Africa just started buying Packable Travel Duffel Bag! 5 minutes ago",someone from cape town western cape south africa just started buy packable travel duffel bag <num> minutes ago,89,"Someone from Cape Town, Western Cape, South Africa just started buying Packable Travel Duffel Bag! 5 minutes ago",someone from cape town western cape south africa just started buy packable travel duffel bag <num> minutes ago
Social Proof,Activity Notifications,88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,<num> person view item in the last <num> hours,219,88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,<num> person view item in the last <num> hours
Social Proof,Activity Notifications,"Someone in Sasebo, Japan just bought",someone in sasebo japan just bought,105,"Someone in Sasebo, Japan just bought",someone in sasebo japan just bought
Misdirection,Confirmshaming,"No thanks, I don't want to build one.. I'd rather kick rocks!",no thanks i don t want to build one i d rather kick rocks,322,"No thanks, I don't want to build one.. I'd rather kick rocks!",no thanks i don t want to build one i d rather kick rocks
Social Proof,Activity Notifications,161 people have viewed this item,<num> person have view this item,2,161 people have viewed this item,<num> person have view this item
Misdirection,Pressured Selling,Unchecking extras may reduce your benefits,unchecking extras may reduce your benefits,453,Unchecking extras may reduce your benefits,unchecking extras may reduce your benefits
Misdirection,Confirmshaming,"No thanks, I'll just pay full price.",no thanks i ll just pay full price,345,"No thanks, I'll just pay full price.",no thanks i ll just pay full price
Misdirection,Pressured Selling,The Business plan is our most popular pre chosen to save you time,the business plan is our most popular pre chosen to save you time,395,The Business plan is our most popular pre chosen to save you time,the business plan is our most popular pre chosen to save you time
Misdirection,Pressured Selling,Subscribe & Save,subscribe save,391,Subscribe & Save,subscribe save
Social Proof,Activity Notifications,Currently trending on checkout,currently trending on checkout,265,Currently trending on checkout,currently trending on checkout
Misdirection,Confirmshaming,I'D RATHER PAY FULL PRICE,i d rather pay full price,299,No thanks. I'd rather pay full price.,no thanks i d rather pay full price
Social Proof,Activity Notifications,8 people have this in their bag right now.,<num> person have this in their bag now,192,8 people have this in their bag right now.,<num> person have this in their bag now
Social Proof,Activity Notifications,"Matthew in Charleston, South Carolina just purchased The Puffy Lux Mattress",matthew in charleston south carolina just purchase the puffy lux mattress,55,"Matthew in Charleston, South Carolina just purchased The Puffy Lux Mattress",matthew in charleston south carolina just purchase the puffy lux mattress
Social Proof,Activity Notifications,Over 200 views in 24 hrs,over <num> views in <num> hrs,53,Over 200 views in 24 hrs,over <num> views in <num> hrs
Social Proof,Activity Notifications,Join 38 plus subscribers enjoying data export,join <num> plus subscribers enjoying data export,248,Join 38 plus subscribers enjoying data export,join <num> plus subscribers enjoying data export
Misdirection,Pressured Selling,Keep extra coupon active by clicking Subscribe,keep extra coupon active by clicking subscribe,525,Keep extra coupon active by clicking Subscribe,keep extra coupon active by clicking subscribe
Social Proof,Activity Notifications,339 users are currently active on our website,<num> users are currently active on our website,26,339 users are currently active on our website,<num> users are currently active on our website
Misdirection,Confirmshaming,"No, thank you. I prefer to pay the full price",no thank you i prefer to pay the full price,384,"No, thank you. I prefer to pay the full price",no thank you i prefer to pay the full price
Misdirection,Pressured Selling,Continue to confirm your Plus plan you can downgrade later,continue to confirm your plus plan you can downgrade later,484,Continue to confirm your Plus plan you can downgrade later,continue to confirm your plus plan you can downgrade later
Misdirection,Confirmshaming,"No thanks, I'm not interested in saving money.",no thanks i m not interested in saving money,337,"No thanks, I'm not interested in saving money.",no thanks i m not interested in saving money
Social Proof,Activity Notifications,Limited Edition Honeycomb Necklace (Bee Inspired) Someone purchased a Limited Edition Honeycomb Necklace (Bee Inspired),limited edition honeycomb necklace bee inspired someone purchase a limited edition honeycomb necklace bee inspired,58,Limited Edition Honeycomb Necklace (Bee Inspired) Someone purchased a Limited Edition Honeycomb Necklace (Bee Inspired),limited edition honeycomb necklace bee inspired someone purchase a limited edition honeycomb necklace bee inspired
Social Proof,Activity Notifications,HOT PRODUCT Over 250 people are looking at this item.,hot product over <num> person are looking at this item,242,HOT PRODUCT Over 250 people are looking at this item.,hot product over <num> person are looking at this item
Social Proof,Activity Notifications,Hot right now purchased over the weekend,hot now purchase over the weekend,240,Hot right now purchased over the weekend,hot now purchase over the weekend
Misdirection,Pressured Selling,Add extra storage for the full experience pre selected,add extra storage for the full experience pre selected,494,Add extra storage for the full experience pre selected,add extra storage for the full experience pre selected
Social Proof,Activity Notifications,Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago,rebecca in buffalo just bought sateen twill swatchabout <num> hour ago,43,Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago,rebecca in buffalo just bought sateen twill swatchabout <num> hour ago
Social Proof,Activity Notifications,1 person is looking at this item.,<num> person is looking at this item,185,1 person is looking at this item.,<num> person is looking at this item
Social Proof,Activity Notifications,"Sierra in Cypress, California bought Beauty In All Dress, Dusty Blue about 46 minutes ago",sierra in cypress california bought beauty in all dress dusty blue about <num> minutes ago,140,"Sierra in Cypress, California bought Beauty In All Dress, Dusty Blue about 46 minutes ago",sierra in cypress california bought beauty in all dress dusty blue about <num> minutes ago
Social Proof,Activity Notifications,"Debby in Harpers Ferry, United States just bought: Icing Pen Decorating Tool",debby in harpers ferry united states just bought icing pen decorating tool,289,"Debby in Harpers Ferry, United States just bought: Icing Pen Decorating Tool",debby in harpers ferry united states just bought icing pen decorating tool
Social Proof,Activity Notifications,Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,leslie in usa just purchase special design exclusive handmade silver ring,59,Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,leslie in usa just purchase special design exclusive handmade silver ring
Misdirection,Trick Questions,Free trial starts now billing begins automatically after 24 hours,free trial starts now billing begins automatically after <num> hours,547,Free trial starts now billing begins automatically after 24 hours,free trial starts now billing begins automatically after <num> hours
Misdirection,Confirmshaming,"No thanks, I don't want a free gift.",no thanks i don t want a free gift,314,"No thanks, I don't want a free gift.",no thanks i don t want a free gift
Social Proof,Activity Notifications,Selected by 73 users in the last 30 minutes,selected by <num> users in the last <num> minutes,40,Selected by 73 users in the last 30 minutes,selected by <num> users in the last <num> minutes
Misdirection,Pressured Selling,Add insurance is selected by default recommended,add insurance is selected by default recommended,505,Add insurance is selected by default recommended,add insurance is selected by default recommended
Misdirection,Confirmshaming,"No thanks, I don't want to look my best",no thanks i don t want to look my best,323,"No thanks, I don't want to look my best",no thanks i don t want to look my best
Misdirection,Pressured Selling,Best experience cloud backup is enabled for you,best experience cloud backup is enabled for you,488,Best experience cloud backup is enabled for you,best experience cloud backup is enabled for you
Misdirection,Pressured Selling,Your cart includes extended warranty free to remove later,your cart includes extended warranty free to remove later,448,Your cart includes extended warranty free to remove later,your cart includes extended warranty free to remove later
Social Proof,Activity Notifications,Trending now! Added to basket 490 times today,trending now added to basket <num> times today,27,Trending now! Added to basket 490 times today,trending now added to basket <num> times today
Social Proof,Activity Notifications,Real time 36 viewing this online course now,real time <num> view this online course now,14,Real time 36 viewing this online course now,real time <num> view this online course now
Social Proof,Activity Notifications,Someone in Mount Louisa bought a Coleman Folding Table & Bench Set 2 minutes ago,someone in mount louisa bought a coleman folding table bench set <num> minutes ago,125,Someone in Mount Louisa bought a Coleman Folding Table & Bench Set 2 minutes ago,someone in mount louisa bought a coleman folding table bench set <num> minutes ago
Misdirection,Pressured Selling,Protect Your Gear,protect your gear,420,Protect Your Gear,protect your gear
Misdirection,Trick Questions,Decline protection small text or Subscribe to continue,decline protection small text or subscribe to continue,641,Decline protection small text or Subscribe to continue,decline protection small text or subscribe to continue
Social Proof,Activity Notifications,85 have it in their cart,<num> have it in their cart,28,85 have it in their cart,<num> have it in their cart
Social Proof,Activity Notifications,"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",ibkul solid mock neck half zip pullover purchase from clinton md us <num> minute ago,243,"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",ibkul solid mock neck half zip pullover purchase from clinton md us <num> minute ago
Misdirection,Confirmshaming,I WANT TO PAY MORE LATER ;),i want to pay more later,362,I WANT TO PAY MORE LATER ;),i want to pay more later
Misdirection,Confirmshaming,"No Thanks, I like paying full price.",no thanks i like paying full price,305,"No Thanks, I like paying full price.",no thanks i like paying full price
Social Proof,Activity Notifications,"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",synne kristine in halden bought classic bokksu subscription billed every <num> month ships every <num> months about <num> minutes ago,108,"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",synne kristine in halden bought classic bokksu subscription billed every <num> month ships every <num> months about <num> minutes ago
Social Proof,Activity Notifications,23 People viewing this product,<num> person view this product,229,23 People viewing this product,<num> person view this product
Social Proof,Activity Notifications,3 PEOPLE VIEWING,<num> person viewing,269,3 PEOPLE VIEWING,<num> person viewing
Social Proof,Activity Notifications,Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago,cheryl in ontario bought <num> organic reishi mushroom powder <num> g about <num> minutes ago,286,Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago,cheryl in ontario bought <num> organic reishi mushroom powder <num> g about <num> minutes ago
Social Proof,Activity Notifications,"Someone in DOVER, United States just bought Crew 15 mins ago",someone in dover united states just bought crew <num> mins ago,152,"Someone in DOVER, United States just bought Crew 15 mins ago",someone in dover united states just bought crew <num> mins ago
Social Proof,Activity Notifications,jennifer just bought Rainbow Moonstone Healing Heartabout 6 hours ago,jennifer just bought rainbow moonstone healing heartabout <num> hours ago,161,jennifer just bought Rainbow Moonstone Healing Heartabout 6 hours ago,jennifer just bought rainbow moonstone healing heartabout <num> hours ago
Social Proof,Activity Notifications,"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",someone in kilwinning united kingdom just bought cuban link chain bracelet,145,"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",someone in kilwinning united kingdom just bought cuban link chain bracelet
Social Proof,Activity Notifications,Real time 53 viewing this online course now,real time <num> view this online course now,14,Real time 36 viewing this online course now,real time <num> view this online course now
Social Proof,Activity Notifications,Most added to cart this this week,most added to cart this this week,86,Most added to cart this this week,most added to cart this this week
Social Proof,Activity Notifications,"Monira in Doha, Qatar purchased a LilyVanity™ Velvet Box",monira in doha qatar purchase a lilyvanity velvet box,70,"Monira in Doha, Qatar purchased a LilyVanity™ Velvet Box",monira in doha qatar purchase a lilyvanity velvet box
Misdirection,Confirmshaming,No thanks. I don’t want deals.,no thanks i don t want deals,325,No thanks. I don’t want deals.,no thanks i don t want deals
Misdirection,Confirmshaming,"No thanks, I don't like exclusive offers",no thanks i don t like exclusive offers,313,"No thanks, I don't like exclusive offers",no thanks i don t like exclusive offers
Social Proof,Activity Notifications,"Our most recent customers are from New Rochelle, Roseville, and Brooksville",our most recent customers are from new rochelle roseville and brooksville,74,"Our most recent customers are from New Rochelle, Roseville, and Brooksville",our most recent customers are from new rochelle roseville and brooksville
Misdirection,Pressured Selling,Add priority support for the full experience pre selected,add priority support for the full experience pre selected,499,Add priority support for the full experience pre selected,add priority support for the full experience pre selected
Social Proof,Activity Notifications,Someone from Airdrie & 10820 others bought this item recently.,someone from airdrie <num> others bought this item recent,137,Someone from Airdrie & 10820 others bought this item recently.,someone from airdrie <num> others bought this item recent
Misdirection,Pressured Selling,Savings applied at product page Join now to finalize,savings applied at product page join now to finalize,425,Savings applied at product page Join now to finalize,savings applied at product page join now to finalize
Misdirection,Pressured Selling,FANSTASTIC DEALS,fanstastic deals,527,FANSTASTIC DEALS,fanstastic deals
Social Proof,Activity Notifications,2 people are looking right now,<num> person are looking right now,13,2 people are looking right now,<num> person are looking right now
Social Proof,Activity Notifications,One customer bought this article in the last 53 min.,one customer bought this article in the last <num> min,77,One customer bought this article in the last 53 min.,one customer bought this article in the last <num> min
Misdirection,Confirmshaming,"No thanks, I like full price",no thanks i like full price,347,"No thanks, I like full price",no thanks i like full price
Social Proof,Activity Notifications,Collin P. from Grandview Missouri just bought BURGUNDY TWO BUTTON SUIT ABOUT 5 SECONDS AGO,collin p from grandview missouri just bought burgundy two button suit about <num> seconds ago,284,Collin P. from Grandview Missouri just bought BURGUNDY TWO BUTTON SUIT ABOUT 5 SECONDS AGO,collin p from grandview missouri just bought burgundy two button suit about <num> seconds ago
Social Proof,Activity Notifications,James from Colonia purchased a,james from colonia purchase a,260,James from Colonia purchased a,james from colonia purchase a
Misdirection,Pressured Selling,Continue with Annual to keep our most popular choice,continue with annual to keep our most popular choice,507,Continue with Annual to keep our most popular choice,continue with annual to keep our most popular choice
Misdirection,Confirmshaming,"No thanks, I will pay full price.",no thanks i will pay full price,329,"No thanks, I will pay full price.",no thanks i will pay full price
Social Proof,Activity Notifications,7 people looked at this product in the last 24 hours.,<num> person looked at this product in the last <num> hours,189,7 people looked at this product in the last 24 hours.,<num> person looked at this product in the last <num> hours
Social Proof,Activity Notifications,93 PEOPLE HAVE BOUGHT THIS PRODUCT TODAY,<num> person have bought this product today,169,93 PEOPLE HAVE BOUGHT THIS PRODUCT TODAY,<num> person have bought this product today
Social Proof,Activity Notifications,THIS PRODUCT HAS BEEN VIEWED 480 TIMES IN THE LAST 48 HOURS,this product has been view <num> times in the last <num> hours,120,THIS PRODUCT HAS BEEN VIEWED 480 TIMES IN THE LAST 48 HOURS,this product has been view <num> times in the last <num> hours
Social Proof,Activity Notifications,57 PEOPLE HAVE LOOKED AT THIS TODAY,<num> person have looked at this today,175,57 PEOPLE HAVE LOOKED AT THIS TODAY,<num> person have looked at this today
Social Proof,Activity Notifications,Add to Wish List(13 People Have Added),add to wish list <num> person have added,280,Add to Wish List(13 People Have Added),add to wish list <num> person have added
Misdirection,Trick Questions,Optional data export is included remove to proceed without it,optional data export is included remove to proceed without it,627,Optional data export is included remove to proceed without it,optional data export is included remove to proceed without it
Social Proof,Activity Notifications,45 ADDED TO BAG IN THE PAST 24 HOURS,<num> added to bag in the past <num> hours,196,45 ADDED TO BAG IN THE PAST 24 HOURS,<num> added to bag in the past <num> hours
Social Proof,Activity Notifications,"Jeremy in Warroad, United States purchased a",jeremy in warroad united states purchase a,255,"Jeremy in Warroad, United States purchased a",jeremy in warroad united states purchase a
Misdirection,Pressured Selling,exclusive access unlocked selection is already chosen for you,exclusive access unlocked selection is already chosen for you,536,exclusive access unlocked selection is already chosen for you,exclusive access unlocked selection is already chosen for you
Misdirection,Pressured Selling,Keep cashback reward active by clicking Claim offer,keep cashback reward active by clicking claim offer,515,Keep cashback reward active by clicking Claim offer,keep cashback reward active by clicking claim offer
Social Proof,Activity Notifications,2049 sold in the last 7 days,<num> sold in the last <num> days,272,2049 sold in the last 7 days,<num> sold in the last <num> days
Misdirection,Pressured Selling,Did you know that Shaver heads need replacing every 12 - 18 months? Get the Shaver Guard cleaning spray to extend its life for up to another 6 months!,did you know that shaver heads need replacing every <num> - <num> months get the shaver guard cleaning spray to extend its life for up to another <num> months,544,Did you know that Shaver heads need replacing every 12 - 18 months? Get the Shaver Guard cleaning spray to extend its life for up to another 6 months!,did you know that shaver heads need replacing every <num> - <num> months get the shaver guard cleaning spray to extend its life for up to another <num> months
Misdirection,Trick Questions,Continue to keep your loyalty bonus going back may remove it,continue to keep your loyalty bonus going back may remove it,637,Continue to keep your loyalty bonus going back may remove it,continue to keep your loyalty bonus going back may remove it
Social Proof,Activity Notifications,62 people have looked at this item in the last few hours.,<num> person have looked at this item in the last few hours,173,62 people have looked at this item in the last few hours.,<num> person have looked at this item in the last few hours
Social Proof,Activity Notifications,12 customers viewed this product today!,<num> customers view this product today,206,12 customers viewed this product today!,<num> customers view this product today
Social Proof,Activity Notifications,146 people recently purchased this.,<num> person recent purchase this,191,146 people recently purchased this.,<num> person recent purchase this
Social Proof,Activity Notifications,"Sabrina in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated",sabrina in paraparaumu new zealand purchase a scho-ka-kola schokakola energy chocolate caffeine snack food mre caffeinated,21,"Sabrina in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated",sabrina in paraparaumu new zealand purchase a scho-ka-kola schokakola energy chocolate caffeine snack food mre caffeinated
Social Proof,Activity Notifications,"Tristan in Markham, Canada purchased a Dragon Baseball Jersey",tristan in markham canada purchase a dragon baseball jersey,116,"Tristan in Markham, Canada purchased a Dragon Baseball Jersey",tristan in markham canada purchase a dragon baseball jersey
Misdirection,Pressured Selling,Priority support is included pre selected,priority support is included pre selected,415,Priority support is included pre selected,priority support is included pre selected
Social Proof,Activity Notifications,"Someone in San diego, United States just bought Gemfield Watch 15 days ago",someone in san diego united states just bought gemfield watch <num> days ago,99,"Someone in San diego, United States just bought Gemfield Watch 15 days ago",someone in san diego united states just bought gemfield watch <num> days ago
Misdirection,Confirmshaming,"No, I'll rather pay full price.",no i ll rather pay full price,387,"No, I'll rather pay full price.",no i ll rather pay full price
Social Proof,Activity Notifications,"Michael M. from Lacey, WA just bought a Cal King",michael m from lacey wa just bought a cal king,60,"Michael M. from Lacey, WA just bought a Cal King",michael m from lacey wa just bought a cal king
Misdirection,Trick Questions,I wish to Start Shopping but I don't want to receive daily email alerts about your amazing discounts on luxury brands.,i wish to start shopping but i don t want to receive daily email alerts about your amazing discounts on luxury brands,635,I wish to Start Shopping but I don't want to receive daily email alerts about your amazing discounts on luxury brands.,i wish to start shopping but i don t want to receive daily email alerts about your amazing discounts on luxury brands
Misdirection,Trick Questions,Important info in More details collapsed,important info in more details collapsed,633,Important info in More details collapsed,important info in more details collapsed
