String,Type,label,predicate
Contact Support,Not Dark Pattern,0,None
Ericdress Long Sleeve Mesh Off Shoulder Summer Dress,Not Dark Pattern,0,None
Cayman Islands USD,Not Dark Pattern,0,None
JFN Crew Neck Floral Vacation T-Shirt/Tee,Not Dark Pattern,0,None
PomeloFashion born in AsiaOn trend. Online. On the go.,Not Dark Pattern,0,None
Only 1 Left in Stock. Buy Soon!,Scarcity,1,Low-stock Messages
Add and save!,Misdirection,1,Trick Questions
Brand Directory,Not Dark Pattern,0,None
Hurry! Only 3 Left In Stock.,Scarcity,1,Low-stock Messages
"Crystals are alive. Born inside Mother Earth, crystal energy can be felt just like heat or cold. For chakra training to astrological remedies, discover healing crystals.",Not Dark Pattern,0,None
Shop All NFL,Not Dark Pattern,0,None
94% offers claimed. Hurry up!,Scarcity,1,High-demand Messages
Cap Construction,Not Dark Pattern,0,None
info@coolhockey.com,Not Dark Pattern,0,None
Present your Fave voucher (it's in the Purchases tab under My Fave) at the outlet.,Not Dark Pattern,0,None
Soft Toys,Not Dark Pattern,0,None
Household,Not Dark Pattern,0,None
I Don't Like to Save Money,Misdirection,1,Confirmshaming
Candy & Snacks,Not Dark Pattern,0,None
Limited Edition Colors,Not Dark Pattern,0,None
19 people viewed this product per day,Social Proof,1,Activity Notifications
Your order is reserved for 19:57 minutes.,Urgency,1,Countdown Timers
Hurry! Only 2 left in stock!,Scarcity,1,Low-stock Messages
AboutOur StoryOur MissionOur ProductsIn the News,Not Dark Pattern,0,None
View all Ink categories,Not Dark Pattern,0,None
You can change your preference here Shop for Select an age,Not Dark Pattern,0,None
"""We'd love to send you emails with offers and new products from New Balance Athletics, Inc. but if you do not wish to receive these updates, please tick this box.",Misdirection,1,Trick Questions
"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair",Social Proof,1,Activity Notifications
Purchased 8 times in the last few days.,Social Proof,1,Activity Notifications
Download Now,Not Dark Pattern,0,None
Glow Gear,Not Dark Pattern,0,None
Rachel Comey,Not Dark Pattern,0,None
ONLY 12.5M LEFT IN STOCK!,Scarcity,1,Low-stock Messages
"By signing up via text, you agree to receive recurring automated promotional and personalized marketing text messages from SPANX®. Msg & data rates apply. View Terms of Use & Privacy Policy.",Not Dark Pattern,0,None
Outdoor Recreation,Not Dark Pattern,0,None
Limited stock available,Scarcity,1,Low-stock Messages
"No thanks, I'll be the last to know.",Misdirection,1,Confirmshaming
How about one of these hot sellers?,Misdirection,1,Pressured Selling
Crystal Beads,Not Dark Pattern,0,None
TSX Remotes,Not Dark Pattern,0,None
American Diamond Earrings,Not Dark Pattern,0,None
"Sign up for the latest updates, products and offers",Not Dark Pattern,0,None
"Someone in Joliet, Illinois purchased a Yocan Evolve Plus XL Vaporizer",Social Proof,1,Activity Notifications
"No thanks, I despise coupons!",Misdirection,1,Confirmshaming
Gear Up,Not Dark Pattern,0,None
We uses cookies (and similar techniques) to provide you with better products and services. Your permission will be confirmed if you continue using this website.Read more,Not Dark Pattern,0,None
Power Button Covers,Not Dark Pattern,0,None
Crystal Shivlingas,Not Dark Pattern,0,None
"No thanks, I'd like 0% off",Misdirection,1,Confirmshaming
Low Maintenance Plants,Not Dark Pattern,0,None
(Only 1 left!),Scarcity,1,Low-stock Messages
Mixed Wine Cases,Not Dark Pattern,0,None
Help us #savethefishies.,Not Dark Pattern,0,None
CHF,Not Dark Pattern,0,None
FANSTASTIC DEALS,Misdirection,1,Pressured Selling
All Birthday Gifts,Not Dark Pattern,0,None
Only 33 left,Scarcity,1,Low-stock Messages
"NO THANKS, I DON’T WANT 15% OFF",Misdirection,1,Confirmshaming
Rudraksha Recommendations,Not Dark Pattern,0,None
"No Thanks, I Don't Want a Discount",Misdirection,1,Confirmshaming
World of Sweats,Not Dark Pattern,0,None
Sparkling Elegance,Not Dark Pattern,0,None
Facebook icon,Not Dark Pattern,0,None
Alchemy Books,Not Dark Pattern,0,None
Gut Health,Not Dark Pattern,0,None
Only 2 left in stock,Scarcity,1,Low-stock Messages
You might also like,Not Dark Pattern,0,None
Stay on Next.co.uk,Not Dark Pattern,0,None
Bob Ross Oil Brushes,Not Dark Pattern,0,None
Nursing chairs,Not Dark Pattern,0,None
Returns an Item,Not Dark Pattern,0,None
HURRY UP > 09H 42M 39S,Urgency,1,Countdown Timers
Crossman Air Pistols,Not Dark Pattern,0,None
Parad Combo Deals,Not Dark Pattern,0,None
Ask a Question,Not Dark Pattern,0,None
Special sale ends in,Urgency,1,Limited-time Messages
In other users' carts 59,Social Proof,1,Activity Notifications
SAVE $300.00\nfor limited time,Urgency,1,Limited-time Messages
Limited time offer,Urgency,1,Limited-time Messages
Don't miss out on this item! There is only 1 left in stock.,Scarcity,1,Low-stock Messages
Thank you for posting a question!,Not Dark Pattern,0,None
#6 Bestseller in Rugs This item was viewed 92 times in the last day.,Social Proof,1,Activity Notifications
Tactical Rifles,Not Dark Pattern,0,None
Spin to unlock your mystery offer,Misdirection,1,Trick Questions
DON'T MISS ON THESE AWESOME ITEMS / DON'T MISS ON OUR TABLE DECORATION SYSTEM,Misdirection,1,Confirmshaming
18 In Stock,Scarcity,1,Low-stock Messages
"Now 30% off - hurry, limited time offer!",Urgency,1,Limited-time Messages
Bath Decor,Not Dark Pattern,0,None
Limited Time Offers,Urgency,1,Limited-time Messages
Perhaps you could...,Not Dark Pattern,0,None
"Rs 4,013 (Retail Discount) + Rs 2,997 (Limited Time Coupon)",Urgency,1,Limited-time Messages
Bought by 39 people in last few hours! HOT SELLER!,Social Proof,1,Activity Notifications
SAVE 10% On All Orders. No Voucher Code Needed Expires in 18:07:59.,Urgency,1,Countdown Timers
"No thanks, I want to pay full price",Misdirection,1,Confirmshaming
407 customers have viewed this item recently,Social Proof,1,Activity Notifications
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,1,High-demand Messages
Great for shine,Not Dark Pattern,0,None
JFN Scallop V Neck Solid Casual T-Shirt/Tee,Not Dark Pattern,0,None
Send Us Your Jersey,Not Dark Pattern,0,None
Free Embroidery Patterns,Not Dark Pattern,0,None
00Days17Hours12Mins13Secs,Urgency,1,Countdown Timers
Email Address*,Not Dark Pattern,0,None
1 Left,Scarcity,1,Low-stock Messages
Fun Treat Tossing,Not Dark Pattern,0,None
"No thanks, I don't like getting free stuff.",Misdirection,1,Confirmshaming
and future features included!,Not Dark Pattern,0,None
Write a reviewAsk a question,Not Dark Pattern,0,None
* Limited Time Offer *\nFREE\nTLPWR1 Test Leads!,Urgency,1,Limited-time Messages
Most-Hearted Styles Shop Now,Not Dark Pattern,0,None
Shop By Fabric,Not Dark Pattern,0,None
Sunwayfoto,Not Dark Pattern,0,None
"Sorry, this is out of stock. You just missed it.",Scarcity,1,Low-stock Messages
Women's Sandals,Not Dark Pattern,0,None
Someone in United States just purchased a,Social Proof,1,Activity Notifications
Sunflower,Not Dark Pattern,0,None
Air Purifying Plants,Not Dark Pattern,0,None
Summary,Not Dark Pattern,0,None
Child Safety,Not Dark Pattern,0,None
Orthopedic,Not Dark Pattern,0,None
Travel Accessories,Not Dark Pattern,0,None
Comfy and looks great,Not Dark Pattern,0,None
Low in stock,Scarcity,1,Low-stock Messages
Panther Anole,Not Dark Pattern,0,None
SAF Warriors,Not Dark Pattern,0,None
218 people have added this item to cart,Social Proof,1,Activity Notifications
Tweet Share Pin It Add Email,Not Dark Pattern,0,None
"No, I Don't Like Discounts",Misdirection,1,Confirmshaming
We uses cookies (and similar techniques) to provide you with better products and services. Your permission will be confirmed if you continue using this website.Read more,Not Dark Pattern,0,None
Jersey GBP,Not Dark Pattern,0,None
Reloading Tools,Not Dark Pattern,0,None
"No Thanks, I Prefer Paying Full Price.",Misdirection,1,Confirmshaming
Fewer than 5 left!,Scarcity,1,Low-stock Messages
Only 4 items left in stock.,Scarcity,1,Low-stock Messages
BROKEN REMOTE? FIX IT YOURSELF AND SAVE HUGE,Not Dark Pattern,0,None
"No thanks, I dont want a discount",Misdirection,1,Confirmshaming
Toddler Girl Jumpsuits and Rompers,Not Dark Pattern,0,None
SAA Standard Membership - Credit/Debit Card - Automatic Annual Fee,Not Dark Pattern,0,None
ONLY 1 ITEM LEFT!,Scarcity,1,Low-stock Messages
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING ON ALL ORDERS OVER $80,Urgency,1,Limited-time Messages
LAYAWAY SALE WE WILL MATCH YOUR INITIAL PAYMENT. LIMITED TIME ONLY,Urgency,1,Limited-time Messages
A-Z Luxury Brands,Not Dark Pattern,0,None
Selling fast! Add to bag 7 times in the last 48 hours.,Social Proof,1,Activity Notifications
EU Delivery & Returns,Not Dark Pattern,0,None
"When you place healing crystals in a symmetrical fashion and activate it with a crystal wand, the pattern is charged to send messages to the universe. A healing crystal grid uses sophisticated symmetry for manifestation.",Not Dark Pattern,0,None
"Carol in St. Louis, Missouri bought Original USB Charging Anti-Theft Backpack",Social Proof,1,Activity Notifications
Powered by,Not Dark Pattern,0,None
"Due To HIGH Demand, Cart Expires In: 08:41",Urgency,1,Countdown Timers
A very fun outfit for a less formal event like a sangeet! Husband said the bell bottom type pants were fun to dance in :),Not Dark Pattern,0,None
gifts for wife,Not Dark Pattern,0,None
Only 7 left!,Scarcity,1,Low-stock Messages
Build your own powerful multi-vendor marketplace website,Not Dark Pattern,0,None
Beach Towels & Mats,Not Dark Pattern,0,None
90% offers claimed. Hurry up!,Scarcity,1,High-demand Messages
Hair treatments,Not Dark Pattern,0,None
Subscribe & Save (15%): $ 16.99,Misdirection,1,Pressured Selling
Was this product description useful?YesNo,Not Dark Pattern,0,None
(ONLY 1 LEFT IN THIS SIZE!),Scarcity,1,Low-stock Messages
Gameday Collection,Not Dark Pattern,0,None
OH SHIP! Looks like that page wasn't found,Not Dark Pattern,0,None
Shop now. Pay later. Always interest-free,Not Dark Pattern,0,None
Shop All Lehenga Choli,Not Dark Pattern,0,None
Transmission and Driveline,Not Dark Pattern,0,None
Hair type: Curly,Not Dark Pattern,0,None
Yes! Upgrade my purchase,Misdirection,1,Pressured Selling
00DAYS00HOURS14MINUTES21SECONDS,Urgency,1,Countdown Timers
"894 Claimed! Hurry, only a few left!",Scarcity,1,Low-stock Messages
Competitor Price: $172.00,Misdirection,1,Pressured Selling
"No thanks, I don't want to save up to 75%",Misdirection,1,Confirmshaming
Only 7 left in stock!,Scarcity,1,Low-stock Messages
LIMITED TIME ONLY 10 OFF 50 SPEND NEW CUSTOMERS ONLY - TERMS & CONDITIONS APPLY,Urgency,1,Limited-time Messages
Comfy and looks great,Not Dark Pattern,0,None
Fashion Forms,Not Dark Pattern,0,None
$132.90 $99.00,Misdirection,1,Pressured Selling
6 others have already bought this deal today!,Social Proof,1,Activity Notifications
Free People,Not Dark Pattern,0,None
Low Stock – Selling Fast,Scarcity,1,High-demand Messages
Log in / Create an account,Not Dark Pattern,0,None
Gift Card FAQs,Not Dark Pattern,0,None
I wish to Start Shopping but I don't want to receive daily email alerts about your amazing discounts on luxury brands.,Misdirection,1,Trick Questions
Pillowcases & Shams,Not Dark Pattern,0,None
"William in Pago Pago, United States purchased a",Social Proof,1,Activity Notifications
Cart will expire in 04:53 minutes!,Urgency,1,Countdown Timers
80% offers claimed. Hurry up!,Scarcity,1,High-demand Messages
"This product can expose you to chemicals including Hexavalent which is known to the State of California to cause cancer on birth defects or other reproductive harm. For more information, visit",Not Dark Pattern,0,None
"By signing up via text, you agree to receive recurring automated promotional and personalized marketing text messages from SPANX®. Msg & data rates apply. View Terms of Use & Privacy Policy.",Not Dark Pattern,0,None
Collegiate Shooting Programs,Not Dark Pattern,0,None
SLEEP EVENT OFFERS - LIMITED TIME ONLY,Urgency,1,Limited-time Messages
The product you requested is not available in the selected country,Not Dark Pattern,0,None
✕,Not Dark Pattern,0,None
"Joe M from , Bought a Cartoon Caterpillar Rigged 3D Model Recently",Social Proof,1,Activity Notifications
Shop All NFL,Not Dark Pattern,0,None
Sunglasses and Eyewear,Not Dark Pattern,0,None
00DAYS07HOURS09MINUTES39SECONDS,Urgency,1,Countdown Timers
Card Storage,Not Dark Pattern,0,None
Thin and tough - protects from minor scratches,Not Dark Pattern,0,None
Mom & Baby,Not Dark Pattern,0,None
Limited Time Offer,Urgency,1,Limited-time Messages
Shop Optics >,Not Dark Pattern,0,None
Down Jackets,Not Dark Pattern,0,None
"Someone from Cape Town, Western Cape, South Africa just started buying Packable Travel Duffel Bag! 5 minutes ago",Social Proof,1,Activity Notifications
Limited Time Only! 20% Off,Urgency,1,Limited-time Messages
"This site uses cookies to provide and improve your shopping experience. If you want to benefit from this improved service, please opt-in.",Not Dark Pattern,0,None
Father's Day Gifts,Not Dark Pattern,0,None
I am very pleased with the service I received.,Not Dark Pattern,0,None
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,Social Proof,1,Activity Notifications
"Someone in Sasebo, Japan just bought",Social Proof,1,Activity Notifications
Warning: Last items in stock!,Scarcity,1,Low-stock Messages
Stock Low : 6 items left.,Scarcity,1,Low-stock Messages
About Ruth Hogan,Not Dark Pattern,0,None
Don’t worry. We’ve got your back.,Not Dark Pattern,0,None
All Personalised Gifts,Not Dark Pattern,0,None
Only 1 Item Left!,Scarcity,1,Low-stock Messages
"No thanks, I don't want to build one.. I'd rather kick rocks!",Misdirection,1,Confirmshaming
JFN Crew Neck Floral Vacation T-Shirt/Tee,Not Dark Pattern,0,None
Mobile Terms of Use,Not Dark Pattern,0,None
Salt Bender Tank and Shorts Combo,Not Dark Pattern,0,None
161 people have viewed this item,Social Proof,1,Activity Notifications
SRX Remotes,Not Dark Pattern,0,None
"No Thanks, I Don't Like Exclusive Offers.",Misdirection,1,Confirmshaming
"No thanks, I'll just pay full price.",Misdirection,1,Confirmshaming
OFFER ENDS 00:54:59,Urgency,1,Countdown Timers
ShopClose menu,Not Dark Pattern,0,None
"After trying several other shades of red, I’ve tried this one and just love it. It is the perfect shade of brown with beautiful red highlights, very rich color, and very beautiful.",Not Dark Pattern,0,None
Patient Transfer Devices,Not Dark Pattern,0,None
Your Cart Will Expire In 09:58 minutes!Please note that these items may not be available again if you release them.,Urgency,1,Countdown Timers
Low in stock: only 2 left.,Scarcity,1,Low-stock Messages
Chair Accessories,Not Dark Pattern,0,None
Printed,Not Dark Pattern,0,None
lego harry potter,Not Dark Pattern,0,None
Highlight Hover,Not Dark Pattern,0,None
KidsAuthentic,Not Dark Pattern,0,None
The requested page could not be found,Not Dark Pattern,0,None
Countdown,Not Dark Pattern,0,None
Mitre Saws,Not Dark Pattern,0,None
I'll Shop Without A Discount,Misdirection,1,Confirmshaming
Shop By Fabric,Not Dark Pattern,0,None
Icon MTB Socks - Black/Green,Not Dark Pattern,0,None
1DAYS 04 HOURS 17 MINUTES 18 SECONDS,Urgency,1,Countdown Timers
HHR remotes,Not Dark Pattern,0,None
Product Tagline,Not Dark Pattern,0,None
Your one-time offer! Enjoy 10% off sitewide. Applied at checkout Offer ends in: 04 hrs 37 min 56 sec,Urgency,1,Countdown Timers
Data Processor Privacy Policy: https://www.appnexus.com/corporate-privacy-policy,Not Dark Pattern,0,None
Loading,Not Dark Pattern,0,None
Sellout risk:,Scarcity,1,High-demand Messages
WilmaNorth Carolina,Not Dark Pattern,0,None
Subscribe & Save,Misdirection,1,Pressured Selling
"We combined powerful, yet gentle acne-fighting ingredients with our own unique plant-based complexes to help reduce irritation and redness associated with acne and breakouts. The result? Skin that’s nourished, smooth, and most importantly, clear!",Not Dark Pattern,0,None
Only 2 units left in stock,Scarcity,1,Low-stock Messages
99 people are looking at this right now,Social Proof,1,Activity Notifications
I'D RATHER PAY FULL PRICE,Misdirection,1,Confirmshaming
8 people have this in their bag right now.,Social Proof,1,Activity Notifications
23% left in stock!,Scarcity,1,Low-stock Messages
Cellular/Honeycomb Shades,Not Dark Pattern,0,None
Upright Plants,Not Dark Pattern,0,None
Authenticity Guaranteed,Not Dark Pattern,0,None
"Matthew in Charleston, South Carolina just purchased The Puffy Lux Mattress",Social Proof,1,Activity Notifications
Over 200 views in 24 hrs,Social Proof,1,Activity Notifications
LOW STOCK: Only 1 left.,Scarcity,1,Low-stock Messages
Bar Stools,Not Dark Pattern,0,None
227 Bought Already,Social Proof,1,Activity Notifications
Only A Few Left,Scarcity,1,Low-stock Messages
Click and Collect T&C,Not Dark Pattern,0,None
How about one of these hot sellers?,Misdirection,1,Pressured Selling
339 users are currently active on our website,Social Proof,1,Activity Notifications
"No, thank you. I prefer to pay the full price",Misdirection,1,Confirmshaming
Limited-time Deal,Scarcity,1,High-demand Messages
"No thanks, I want to pay full price",Misdirection,1,Confirmshaming
LIMITED TIME OFFER! FREE SHIPPING OVER $99 + FREE RETURNS*,Urgency,1,Limited-time Messages
"No thanks, I'm not interested in saving money.",Misdirection,1,Confirmshaming
ONLY 5 LEFT!,Scarcity,1,Low-stock Messages
Only a few left of this product!,Scarcity,1,Low-stock Messages
On Sale! Limited Time Offer!,Urgency,1,Limited-time Messages
Unstitched Fabric,Not Dark Pattern,0,None
United States,Not Dark Pattern,0,None
LIMITED OFFER: $125 Off + 2 Free Pillows,Urgency,1,Limited-time Messages
Limited Edition Honeycomb Necklace (Bee Inspired) Someone purchased a Limited Edition Honeycomb Necklace (Bee Inspired),Social Proof,1,Activity Notifications
HOT PRODUCT Over 250 people are looking at this item.,Social Proof,1,Activity Notifications
"Mystic Topaz: Rings, Earrings, Necklaces and Bracelets",Not Dark Pattern,0,None
Order in 14:53 to get 2 pillows for free,Urgency,1,Countdown Timers
Speed Lace Accessory Kit - Orange,Not Dark Pattern,0,None
"Someone in Chambersburg, Pennsylvania purchased",Social Proof,1,Activity Notifications
Switchers,Not Dark Pattern,0,None
Your cart is reserved for 14:57 minutes!,Urgency,1,Countdown Timers
LOGIN/REGISTER,Misdirection,1,Trick Questions
Cap Construction,Not Dark Pattern,0,None
Only one item left in stock!,Scarcity,1,Low-stock Messages
WWE New Arrivals,Not Dark Pattern,0,None
Teething Remedies,Not Dark Pattern,0,None
Light Blue Regular Fit Single Cuff Easy Care Shirt,Not Dark Pattern,0,None
"Security is our top priority. Our subscription payments are powered by Stripe and ReCharge, processed in a secure PCI-compliant environment to the highest industry standards. Ketolent staff never know your credit card number.",Not Dark Pattern,0,None
"When you visit any website, it may store or retrieve information on your browser, mostly in the form of cookies. This information might be about you, your preferences or your device and is mostly used to make the site work as you expect it to. The information does not usually directly identify you, but it can give you a more personalized web experience. Because we respect your right to privacy, you can choose not to allow some types of cookies. Click on the different category headings to find out more and change our default settings. However, blocking some types of cookies may impact your experience of the site and the services we are able to offer.",Not Dark Pattern,0,None
ONLY 3 LEFT IN STOCK.,Scarcity,1,Low-stock Messages
Product Info,Not Dark Pattern,0,None
We're offline,Not Dark Pattern,0,None
Hair Care Sets,Not Dark Pattern,0,None
Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago,Social Proof,1,Activity Notifications
1 person is looking at this item.,Social Proof,1,Activity Notifications
TV & Home Appliances,Not Dark Pattern,0,None
Exotic Bird Food,Not Dark Pattern,0,None
"Sierra in Cypress, California bought Beauty In All Dress, Dusty Blue about 46 minutes ago",Social Proof,1,Activity Notifications
SAVE $300.00\nfor limited time,Urgency,1,Limited-time Messages
Cowgirls,Not Dark Pattern,0,None
"Debby in Harpers Ferry, United States just bought: Icing Pen Decorating Tool",Social Proof,1,Activity Notifications
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,Social Proof,1,Activity Notifications
"No Thanks, I Don't Want a Free Gift",Misdirection,1,Confirmshaming
Eyelashes,Not Dark Pattern,0,None
"No thanks, I don't want a free gift.",Misdirection,1,Confirmshaming
MIN Twins,Not Dark Pattern,0,None
"Both of these jerseys are awesome, I couldn’t have asked for better quality.",Not Dark Pattern,0,None
Screen print graphics,Not Dark Pattern,0,None
Payment Methods,Not Dark Pattern,0,None
Delivery & Returns,Not Dark Pattern,0,None
7 sold in the last 48 hours,Social Proof,1,Activity Notifications
"Check your orders, in-store quotes & more",Not Dark Pattern,0,None
"No Thanks, I prefer not to have a protection plan",Misdirection,1,Confirmshaming
LEGO Sondersets Saison Polybags Promotionals ExklusiveOpens in a new window or tab,Not Dark Pattern,0,None
Deals of the Week,Not Dark Pattern,0,None
"No thanks, I don't want to look my best",Misdirection,1,Confirmshaming
Tapestry Guide,Not Dark Pattern,0,None
LAST 1 LEFT,Scarcity,1,Low-stock Messages
Cincinnati Bengals T-Shirts,Not Dark Pattern,0,None
Glow Gear,Not Dark Pattern,0,None
CareersAbout UsAffiliatesPrivacy SettingsAdvertise with usHelpSite map,Not Dark Pattern,0,None
Limited Time Offers,Urgency,1,Limited-time Messages
-90% discount if you order within 9:55:44,Urgency,1,Countdown Timers
Italy € EUR,Not Dark Pattern,0,None
TERMS OF SALE,Not Dark Pattern,0,None
Jewelry Care Kit,Not Dark Pattern,0,None
"We are one of the best online printing technology & solution company successfully serving local and international customers to cherish the joy, love and precious moments in life with various products. Being an instrument to spread your joy and love in a beautiful way we take pride in providing the best quality services.",Not Dark Pattern,0,None
FilterSortFeaturedPrice: Low to HighPrice: High to LowAlphabetical: A-ZAlphabetical: Z-A,Not Dark Pattern,0,None
Selling fast!,Scarcity,1,High-demand Messages
Deal expires in: 03 hrs 25 mins 22 sec,Urgency,1,Countdown Timers
Your one-time offer! Enjoy 10% off sitewide. Applied at checkout Offer ends in: 04 hrs 37 min 56 sec,Urgency,1,Countdown Timers
Active Filters English (United States) English (United States) ✘ Remove Filter,Not Dark Pattern,0,None
In Stock Only 5 left!,Scarcity,1,Low-stock Messages
Eyelashes,Not Dark Pattern,0,None
No thanks. I prefer paying full price.,Misdirection,1,Confirmshaming
Drive and Focus,Not Dark Pattern,0,None
Only 5 left,Scarcity,1,Low-stock Messages
"Don't snooze, only 1 left",Scarcity,1,Low-stock Messages
Epilepsy Safe Profile: this profile enables people with epilepsy to safely use the website by eliminating the risk of seizures resulting from flashing or blinking animations and risky color combinations.,Not Dark Pattern,0,None
View All Mattress Accessories,Not Dark Pattern,0,None
Businesses in the EU buying from a business in the same country are also charged VAT.,Not Dark Pattern,0,None
Limited Time Only · Online Only,Urgency,1,Limited-time Messages
Log in / Create an account,Not Dark Pattern,0,None
"no thanks, I don't like to save",Misdirection,1,Confirmshaming
SAVE TODAY: Save 20% on lighting by Le Klint. Limited time only.,Urgency,1,Limited-time Messages
"Size low on stock, only 1 item left",Scarcity,1,Low-stock Messages
Choose Type of Cookies You Accept Using,Not Dark Pattern,0,None
Bioactive Custodians,Not Dark Pattern,0,None
Trending now! Added to basket 490 times today,Social Proof,1,Activity Notifications
Shirts & Blouses,Not Dark Pattern,0,None
"William in Pago Pago, United States purchased a",Social Proof,1,Activity Notifications
Only 1 Item(s) left,Scarcity,1,Low-stock Messages
Someone in Mount Louisa bought a Coleman Folding Table & Bench Set 2 minutes ago,Social Proof,1,Activity Notifications
Protect Your Gear,Misdirection,1,Pressured Selling
RegionBracket Right,Not Dark Pattern,0,None
"NO, I'D RATHER PAY FULL PRICE",Misdirection,1,Confirmshaming
85 have it in their cart,Social Proof,1,Activity Notifications
"Metal - Brass , hollow from inside",Not Dark Pattern,0,None
RegionBracket Right,Not Dark Pattern,0,None
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",Social Proof,1,Activity Notifications
We are currently accepting and processing orders from following:,Not Dark Pattern,0,None
Toe Ring,Not Dark Pattern,0,None
I WANT TO PAY MORE LATER ;),Misdirection,1,Confirmshaming
Other Promotions,Not Dark Pattern,0,None
Only 3 Left In Stock,Scarcity,1,Low-stock Messages
5 LEFT,Scarcity,1,Low-stock Messages
"No Thanks, I like paying full price.",Misdirection,1,Confirmshaming
"Only 5 left , In Stock",Scarcity,1,Low-stock Messages
"Order soon, only 1 left!",Scarcity,1,Low-stock Messages
